"x","precision_byhh","precision_pooled","delta"
0.02,0.332038123167155,0.176994485294118,0.155043637873038
0.04,0.284807692307692,0.151265543952635,0.133542148355057
0.06,0.259776078082459,0.147234448612537,0.112541629469921
0.08,0.243546679211393,0.143203353272439,0.100343325938954
0.1,0.229523273273273,0.139172257932341,0.0903510153409318
0.12,0.221324284371212,0.135141162592243,0.0861831217789681
0.14,0.214905955101145,0.131110067252146,0.0837958878489995
0.16,0.209334310693845,0.127078971912048,0.0822553387817974
0.18,0.204496131528046,0.12304787657195,0.0814482549560967
0.2,0.199071945981074,0.119016781231852,0.0800551647492226
0.22,0.194222925725791,0.114985685891754,0.0792372398340374
0.24,0.187989782789479,0.110954590551656,0.077035192237823
0.26,0.181565793674254,0.106923495211558,0.0746422984626956
0.28,0.17601878664765,0.10326162981365,0.0727571568339997
0.3,0.170740567295622,0.101294865513976,0.0694457017816462
0.32,0.166335242793458,0.0993281012143019,0.0670071415791564
0.34,0.162152864828954,0.0973613369146279,0.0647915279143261
0.36,0.158160580696776,0.095394572614954,0.0627660080818215
0.38,0.154067225389221,0.0934278083152801,0.0606394170739408
0.4,0.150314526992772,0.0914610440156061,0.0588534829771658
0.42,0.14638847574489,0.0894942797159322,0.0568941960289582
0.44,0.142883598887176,0.0875275154162583,0.0553560834709176
0.46,0.14009671551612,0.0855607511165843,0.0545359643995359
0.48,0.137173785548245,0.0835939868169104,0.0535797987313348
0.5,0.134143947543821,0.0816272225172365,0.0525167250265842
0.52,0.131007864059429,0.0796604582175625,0.0513474058418662
0.54,0.128037524034366,0.0779315303042605,0.0501059937301056
0.56,0.124803139489652,0.0767938232056643,0.0480093162839876
0.58,0.121363166287019,0.0756561161070682,0.0457070501799504
0.6,0.11774530565183,0.0745184090084721,0.0432268966433575
0.62,0.114227799996048,0.0733807019098759,0.0408470980861722
0.64,0.111417238822175,0.0722429948112797,0.0391742440108957
0.66,0.107880060263838,0.0711052877126836,0.0367747725511544
0.68,0.104376905811724,0.0699675806140874,0.0344093251976368
0.7,0.100624762413979,0.0688298735154913,0.0317948888984874
0.72,0.0972276626167207,0.0676921664168951,0.0295354961998256
0.74,0.0935009537076837,0.066554459318299,0.0269464943893847
0.76,0.0892902763338923,0.0644310870968831,0.0248591892370093
0.78,0.0850303792279871,0.0619201475213487,0.0231102317066384
0.8,0.0803970937389819,0.0593193363010646,0.0210777574379173
0.82,0.0746007518281255,0.0559711871448819,0.0186295646832436
0.84,0.0689681240065839,0.0526263427471816,0.0163417812594024
0.86,0.0636620512007399,0.0492814983494813,0.0143805528512586
0.88,0.0590651679624572,0.046572730910323,0.0124924370521342
0.9,0.0552097667868105,0.0443594201103596,0.0108503466764509
0.92,0.0515457816849777,0.0421461093103962,0.00939967237458155
0.94,0.0479329340828383,0.0399327985104327,0.00800013557240558
0.96,0.0397110634263749,0.0370569510791042,0.00265411234727067
