"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","count_divisible_by_100 <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger",533,174,0.3265,0.2812,264,68,0.2576,0.0657,0.0802,1.135,264,68,0.2576,0.0371,0.0381,1.097
"1","children_i <= 0.500 & rawben_rel_max <= 0.991 & total_deductions_by_hh_size > 7.800 & unc_rawben_rel_max > 0.987","ranger",543,177,0.326,0.2811,254,70,0.2756,0.0676,0.0821,1.092,254,70,0.2756,0.0381,0.039,1.056
"1","rawben_rel_max >=    0.485 & shelter_expenses_by_hh_size >= 1080.000 & total_deductions_by_hh_size >=  744.000 & utilities <   67.000","xgboost",63,26,0.4127,0.281,28,10,0.3571,0.0097,0.0153,0.12,30,12,0.4,0.0065,0.0093,0.125
"1","children_i <= 0.500 & homeless <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger",517,169,0.3269,0.2809,253,62,0.2451,0.0599,0.073,1.088,253,62,0.2451,0.0338,0.0347,1.051
"1","cat_elig > 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger",527,172,0.3264,0.2808,259,68,0.2625,0.0657,0.0787,1.113,259,68,0.2625,0.0371,0.0374,1.076
"1","months_since_cert_n <= 7.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.991","ranger",267,92,0.3446,0.2806,133,36,0.2707,0.0348,0.0447,0.572,133,36,0.2707,0.0196,0.0212,0.553
"1","homeless <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger",521,170,0.3263,0.2805,254,62,0.2441,0.0599,0.073,1.092,254,62,0.2441,0.0338,0.0347,1.056
"1","months_since_cert_n > 0.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.987","ranger",528,172,0.3258,0.2803,262,66,0.2519,0.0638,0.0759,1.126,262,66,0.2519,0.036,0.0361,1.089
"1","medical_deductions > 3.5 & medical_deductions <= 7.5","ranger",69,28,0.4058,0.2801,34,11,0.3235,0.0106,0.0068,0.146,34,11,0.3235,0.006,0.0032,0.141
"1","months_since_cert_n < 19.000 & rawben_rel_max >=  0.988 & rawben_rel_max <  0.992","xgboost",443,146,0.3296,0.28,227,58,0.2555,0.056,0.0683,0.976,227,58,0.2555,0.0316,0.0324,0.943
"1","medical_deductions >=  4.000 & medical_deductions < 10.000 & months_since_cert_n < 23.000 & rawben_rel_max <  0.787","xgboost",75,30,0.4,0.2795,32,13,0.4062,0.0126,0.008,0.138,32,13,0.4062,0.0071,0.0038,0.133
"1","months_since_cert_n >=   4.000 & rawben_rel_max >=   0.639 & shelter_expenses_by_hh_size >= 937.000 & utilities <  27.000","xgboost",84,33,0.3929,0.279,33,11,0.3333,0.0106,0.0169,0.142,37,15,0.4054,0.0082,0.0112,0.154
"1","children_i <= 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger",501,163,0.3253,0.2788,241,63,0.2614,0.0609,0.0732,1.036,241,63,0.2614,0.0343,0.0348,1.002
"1","married <  1.000 & rawben_rel_max >=  0.988 & rawben_rel_max <  0.992 & unc_rawben_rel_max >= -0.044","xgboost",551,178,0.323,0.2786,272,69,0.2537,0.0667,0.0809,1.169,272,69,0.2537,0.0376,0.0384,1.13
"1","children_i <= 0.500 & rawben_rel_max > 0.987 & rawben_rel_max <= 0.991","ranger",548,177,0.323,0.2785,272,70,0.2574,0.0676,0.0821,1.169,272,70,0.2574,0.0381,0.039,1.13
"1","children_i >  0.5 & elderly_disabled_i >  0.5 & utilities > 26.0","ranger",22,11,0.5,0.2779,10,4,0.4,0.0039,0.0071,0.043,10,4,0.4,0.0022,0.0034,0.042
"1","children_i > 0.500 & elderly_disabled_i > 0.500 & rawben_rel_max > 0.085","ranger",22,11,0.5,0.2779,10,5,0.5,0.0048,0.0083,0.043,10,5,0.5,0.0027,0.0039,0.042
"1","expedited_i <=   0.500 & shelter_expenses_by_hh_size > 908.000 & unc_rawben_rel_max <=   0.991 & utilities <=  28.500","ranger",158,57,0.3608,0.2779,87,28,0.3218,0.0271,0.0354,0.374,91,32,0.3516,0.0174,0.0194,0.378
"1","months_since_cert_n <=  32.500 & rawben_rel_max >   0.987 & unc_rawben_rel_max <=   1.000 & utilities <= 542.000","ranger",371,123,0.3315,0.2775,184,49,0.2663,0.0473,0.0613,0.791,185,50,0.2703,0.0272,0.0299,0.769
"1","homeless >    0.5 & shelter_expenses_by_hh_size > 1020.0 & shelter_expenses_by_hh_size <= 1130.0","ranger",17,9,0.5294,0.277,61,4,0.0656,0.0039,0.0037,0.262,61,4,0.0656,0.0022,0.0018,0.254
"1","percent_abawd <= 0.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.985","ranger",558,179,0.3208,0.2767,297,73,0.2458,0.0705,0.0862,1.277,297,73,0.2458,0.0398,0.0409,1.234
"1","children_i <=  0.500 & unc_rawben_rel_max >  0.987 & unc_rawben_rel_max <=  0.991 & utilities <= 29.500","ranger",70,28,0.4,0.2758,50,11,0.22,0.0106,0.0146,0.215,50,11,0.22,0.006,0.0069,0.208
"1","months_since_cert_n >= 2.000 & rawben_rel_max >= 0.988 & rawben_rel_max < 0.992 & unc_rawben_rel_max >= 0.088","xgboost",497,159,0.3199,0.2734,243,58,0.2387,0.056,0.0637,1.045,243,58,0.2387,0.0316,0.0302,1.01
"1","cat_elig > 1.5 & children_i > 0.5 & elderly_disabled_i > 0.5","ranger",10,6,0.6,0.2725,0,0,NA,0,0,0,0,0,NA,0,0,0
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 606.000 & utilities >  30.500","ranger",436,140,0.3211,0.2716,191,56,0.2932,0.0541,0.0659,0.821,191,56,0.2932,0.0305,0.0313,0.794
"1","cat_elig >  1.500 & months_since_cert_n <= 40.500 & rawben_rel_max >  0.987 & rawben_rel_max <=  0.991","ranger",130,47,0.3615,0.2709,6,0,0,0,0,0.026,6,0,0,0,0,0.025
"1","homeless <= 0.500 & married <= 0.500 & unc_rawben_rel_max > 0.985 & unc_rawben_rel_max <= 0.991","ranger",550,173,0.3145,0.2705,287,65,0.2265,0.0628,0.0771,1.234,287,65,0.2265,0.0354,0.0366,1.193
"1","count_divisible_by_100 <= 0.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.985 & unc_rawben_rel_max <= 1.000","ranger",564,177,0.3138,0.2703,297,72,0.2424,0.0696,0.0855,1.277,297,72,0.2424,0.0392,0.0406,1.234
"1","months_since_cert_n <=   24.500 & total_deductions_by_hh_size <= 1360.000 & unc_rawben_rel_max >    0.987 & unc_rawben_rel_max <=    0.991","ranger",479,152,0.3173,0.2701,244,60,0.2459,0.058,0.068,1.049,244,60,0.2459,0.0327,0.0323,1.014
"1","children_i >   0.50 & elderly_disabled_i >   0.50 & percent_abawd <=   0.75 & utilities <= 696.00","ranger",20,10,0.5,0.2693,11,4,0.3636,0.0039,0.0073,0.047,11,4,0.3636,0.0022,0.0035,0.046
"1","homeless >   0.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 616.000 & utilities <= 250.000","ranger",20,10,0.5,0.2693,11,8,0.7273,0.0077,0.0095,0.047,11,8,0.7273,0.0044,0.0045,0.046
"1","percent_abawd <=  0.750 & rawben_rel_max >  0.987 & rawben_rel_max <=  0.991 & utilities > 28.500","ranger",464,147,0.3168,0.2689,221,58,0.2624,0.056,0.0663,0.95,221,58,0.2624,0.0316,0.0315,0.918
"1","children_i <    1 & shelter_expenses_by_hh_size >= 1080 & total_deductions_by_hh_size >=  685 & utilities <   29","xgboost",78,30,0.3846,0.268,36,9,0.25,0.0087,0.0133,0.155,39,12,0.3077,0.0065,0.0093,0.162
"1","count_divisible_by_100 <=   0.5 & medical_deductions > 612.0 & unc_rawben_rel_max <=   1.0","ranger",48,20,0.4167,0.268,20,11,0.55,0.0106,0.019,0.086,21,12,0.5714,0.0065,0.0093,0.087
"1","elderly_disabled_i > 0.500 & homeless > 0.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.987","ranger",15,8,0.5333,0.2675,10,8,0.8,0.0077,0.0091,0.043,10,8,0.8,0.0044,0.0043,0.042
"1","homeless >   0.500 & rawben_rel_max >   0.987 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 298.000","ranger",15,8,0.5333,0.2675,9,7,0.7778,0.0068,0.0084,0.039,9,7,0.7778,0.0038,0.004,0.037
"1","cat_elig >   0.500 & rawben_rel_max >   0.987 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 700.000","ranger",553,172,0.311,0.2673,255,70,0.2745,0.0676,0.0819,1.096,257,72,0.2802,0.0392,0.0403,1.068
"1","count_divisible_by_100 <=  0.500 & rawben_rel_max <=  0.991 & unc_rawben_rel_max >  0.987 & utilities > 28.500","ranger",467,147,0.3148,0.2672,221,59,0.267,0.057,0.0675,0.95,221,59,0.267,0.0322,0.0321,0.918
"1","medical_deductions > 371.000 & months_since_cert_n >  12.500 & rawben_rel_max <=   0.962 & unc_rawben_rel_max >   0.324","ranger",31,14,0.4516,0.2668,17,4,0.2353,0.0039,0.006,0.073,17,4,0.2353,0.0022,0.0029,0.071
"1","rawben_rel_max >   0.987 & unc_rawben_rel_max >   0.420 & unc_rawben_rel_max <=   1.000 & utilities <= 606.000","ranger",439,138,0.3144,0.2653,220,59,0.2682,0.057,0.0721,0.946,221,60,0.2715,0.0327,0.035,0.918
"1","expedited_i <=  0.500 & months_since_cert_n > 12.500 & rawben_rel_max >  0.987 & rawben_rel_max <=  0.991","ranger",162,56,0.3457,0.265,76,18,0.2368,0.0174,0.0209,0.327,76,18,0.2368,0.0098,0.0099,0.316
"1","count_divisible_by_100 <=   0.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 560.000 & unc_rawben_rel_max >   0.987","ranger",572,176,0.3077,0.2648,276,70,0.2536,0.0676,0.0832,1.186,277,71,0.2563,0.0387,0.0402,1.151
"1","cat_elig <= 2.5 & children_i > 0.5 & elderly_disabled_i > 0.5 & expedited_i <= 0.5","ranger",23,11,0.4783,0.2644,13,5,0.3846,0.0048,0.0083,0.056,13,5,0.3846,0.0027,0.0039,0.054
"1","children_i >  0.5 & elderly_disabled_i >  0.5 & shelter_expenses_by_hh_size > 37.5","ranger",23,11,0.4783,0.2644,12,5,0.4167,0.0048,0.0083,0.052,12,5,0.4167,0.0027,0.0039,0.05
"1","married <=   0.50 & medical_deductions > 684.00 & unc_rawben_rel_max <=   1.01 & utilities >  28.50","ranger",23,11,0.4783,0.2644,9,4,0.4444,0.0039,0.0059,0.039,9,4,0.4444,0.0022,0.0028,0.037
"1","married <=  0.500 & rawben_rel_max <=  0.991 & unc_rawben_rel_max >  0.987 & utilities > 28.500","ranger",479,149,0.3111,0.2642,222,58,0.2613,0.056,0.0663,0.954,222,58,0.2613,0.0316,0.0315,0.923
"1","count_divisible_by_100 <=   0.500 & rawben_rel_max >   0.987 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 418.000","ranger",574,176,0.3066,0.2638,275,70,0.2545,0.0676,0.0832,1.182,276,71,0.2572,0.0387,0.0402,1.147
"1","elderly_disabled_i >    0.5 & medical_deductions >    3.5 & medical_deductions <=    7.5 & shelter_expenses_by_hh_size <= 1750.0","ranger",67,26,0.3881,0.263,34,11,0.3235,0.0106,0.0068,0.146,34,11,0.3235,0.006,0.0032,0.141
"1","months_since_cert_n <=  7.500 & rawben_rel_max <=  0.998 & total_deductions_by_hh_size > 63.700 & unc_rawben_rel_max >  0.987","ranger",291,94,0.323,0.263,148,40,0.2703,0.0386,0.0495,0.636,149,41,0.2752,0.0223,0.0242,0.619
"1","months_since_cert_n >= 12.000 & months_since_cert_n < 27.000 & rawben_rel_max >=  0.986 & rawben_rel_max <  0.990","xgboost",150,52,0.3467,0.263,68,17,0.25,0.0164,0.0211,0.292,68,17,0.25,0.0093,0.01,0.283
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 603.00 & unc_rawben_rel_max <   1.02 & utilities < 361.00","xgboost",457,142,0.3107,0.2628,191,60,0.3141,0.058,0.0726,0.821,202,71,0.3515,0.0387,0.0411,0.839
"1","percent_abawd <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 330.000 & unc_rawben_rel_max >   0.987","ranger",587,179,0.3049,0.2627,285,72,0.2526,0.0696,0.0846,1.225,287,74,0.2578,0.0403,0.0416,1.193
"1","cat_elig <= 1.5 & elderly_disabled_i > 0.5 & medical_deductions > 3.5 & medical_deductions <= 7.5","ranger",43,18,0.4186,0.2625,34,11,0.3235,0.0106,0.0068,0.146,34,11,0.3235,0.006,0.0032,0.141
"1","medical_deductions <= 612.000 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 496.000 & unc_rawben_rel_max >   0.987","ranger",570,174,0.3053,0.2624,264,70,0.2652,0.0676,0.0837,1.135,266,72,0.2707,0.0392,0.0412,1.105
"1","total_deductions_by_hh_size <= 1360.000 & unc_rawben_rel_max >    0.987 & unc_rawben_rel_max <=    0.991","ranger",535,164,0.3065,0.2623,265,64,0.2415,0.0618,0.0716,1.139,265,64,0.2415,0.0349,0.034,1.101
"1","medical_deductions > 3.500 & medical_deductions <= 7.500 & months_since_cert_n > 2.500 & rawben_rel_max > 0.142","ranger",46,19,0.413,0.2622,24,6,0.25,0.0058,0.0044,0.103,24,6,0.25,0.0033,0.0021,0.1
"1","cat_elig <= 1.500 & married <= 0.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.987","ranger",420,131,0.3119,0.262,266,69,0.2594,0.0667,0.0809,1.143,266,69,0.2594,0.0376,0.0384,1.105
"1","medical_deductions > 612 & unc_rawben_rel_max <=   1","ranger",49,20,0.4082,0.262,20,11,0.55,0.0106,0.019,0.086,21,12,0.5714,0.0065,0.0093,0.087
"1","cat_elig <= 1.500 & rawben_rel_max <= 0.991 & unc_rawben_rel_max > 0.987","ranger",421,131,0.3112,0.2614,267,70,0.2622,0.0676,0.0821,1.148,267,70,0.2622,0.0381,0.039,1.11
"1","medical_deductions > 612.000 & months_since_cert_n >   7.500 & rawben_rel_max <=   0.991","ranger",26,12,0.4615,0.2612,13,6,0.4615,0.0058,0.0106,0.056,13,6,0.4615,0.0033,0.005,0.054
"1","elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 714.0 & utilities <=  28.5","ranger",99,36,0.3636,0.261,46,14,0.3043,0.0135,0.0216,0.198,56,24,0.4286,0.0131,0.0166,0.233
"1","children_i <=  0.500 & months_since_cert_n > 10.500 & rawben_rel_max <=  0.991 & unc_rawben_rel_max >  0.987","ranger",212,70,0.3302,0.2601,92,22,0.2391,0.0213,0.0252,0.395,92,22,0.2391,0.012,0.012,0.382
"1","percent_abawd <=   0.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 214.000 & unc_rawben_rel_max >   0.987","ranger",600,181,0.3017,0.26,292,75,0.2568,0.0725,0.0873,1.255,294,77,0.2619,0.042,0.0429,1.222
"1","elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 116.000 & unc_rawben_rel_max >   0.985 & unc_rawben_rel_max <=   0.998","ranger",595,179,0.3008,0.2591,317,79,0.2492,0.0763,0.0924,1.363,318,80,0.2516,0.0436,0.0446,1.322
"1","elderly_disabled_i > 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.987 & unc_rawben_rel_max <= 0.998","ranger",538,163,0.303,0.259,269,68,0.2528,0.0657,0.0782,1.156,270,69,0.2556,0.0376,0.0379,1.122
"1","elderly_disabled_i > 0.500 & expedited_i <= 0.500 & rawben_rel_max > 0.985 & rawben_rel_max <= 0.996","ranger",541,163,0.3013,0.2576,277,71,0.2563,0.0686,0.0829,1.191,277,71,0.2563,0.0387,0.0394,1.151
"1","medical_deductions >  369.000 & rawben_rel_max <=    0.991 & total_deductions_by_hh_size > 1400.000","ranger",35,15,0.4286,0.2568,15,8,0.5333,0.0077,0.0113,0.064,15,8,0.5333,0.0044,0.0054,0.062
"1","children_i >   0.500 & months_since_cert_n <=  10.500 & shelter_expenses_by_hh_size <= 112.000 & unc_rawben_rel_max <=   0.548","ranger",13,7,0.5385,0.2567,3,0,0,0,0,0.013,3,0,0,0,0,0.012
"1","children_i > 0.500 & elderly_disabled_i > 0.500 & married <= 0.500 & unc_rawben_rel_max > 0.548","ranger",13,7,0.5385,0.2567,6,2,0.3333,0.0019,0.0031,0.026,6,2,0.3333,0.0011,0.0015,0.025
"1","homeless >   0.500 & total_deductions_by_hh_size > 448.000 & unc_rawben_rel_max >   0.985 & unc_rawben_rel_max <=   1.000","ranger",13,7,0.5385,0.2567,9,7,0.7778,0.0068,0.0084,0.039,9,7,0.7778,0.0038,0.004,0.037
"1","medical_deductions > 132 & shelter_expenses_by_hh_size > 882 & total_deductions_by_hh_size > 714 & utilities <=   8","ranger",13,7,0.5385,0.2567,9,4,0.4444,0.0039,0.0044,0.039,10,5,0.5,0.0027,0.0027,0.042
"1","homeless <=   0.5 & total_deductions_by_hh_size >   7.8 & total_deductions_by_hh_size <=  12.2 & utilities > 355.0","ranger",50,20,0.4,0.2564,17,0,0,0,0,0.073,17,0,0,0,0,0.071
"1","medical_deductions >=    5 & medical_deductions <   10 & shelter_expenses_by_hh_size < 1390 & total_deductions_by_hh_size >=  362","xgboost",38,16,0.4211,0.2563,16,4,0.25,0.0039,0.002,0.069,16,4,0.25,0.0022,9e-04,0.066
