"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,24096,22269,0.603692257644763,0.052853742871256,0.928233438485804,0.943588471555729,"frame only (mined error type)",0.943588471555729
0.1,3626,12086,0.327640425070484,0.0783551216283303,0.746845425867508,0.766642180011894,"frame only (mined error type)",0.766642180011894
0.15,348,2419,0.0655768813706354,0.119470855725506,0.227917981072555,0.252139402207615,"frame only (mined error type)",0.252139402207615
0.2,73,361,0.00978638039470831,0.166204986149584,0.0473186119873817,0.0514760364692152,"frame only (mined error type)",0.0514760364692152
0.25,18,92,0.00249403600086749,0.228260869565217,0.0165615141955836,0.0203748048222809,"frame only (mined error type)",0.0203748048222809
0.3,4,14,0.000379527217523314,0.357142857142857,0.00394321766561514,0.00428357454278327,"frame only (mined error type)",0.00428357454278327
0.05,24096,24643,0.614845309381237,0.144097715375563,0.796188340807175,0.861479731640362,"any error type",0.861479731640362
0.1,3626,13666,0.340968063872255,0.184911459095566,0.566591928251121,0.641250409771454,"any error type",0.641250409771454
0.15,348,2812,0.0701596806387225,0.2425320056899,0.152914798206278,0.187951843408498,"any error type",0.187951843408498
0.2,73,425,0.0106037924151697,0.291764705882353,0.0278026905829596,0.0340279220145491,"any error type",0.0340279220145491
0.25,18,100,0.00249500998003992,0.29,0.00650224215246637,0.0105464536939489,"any error type",0.0105464536939489
0.3,4,16,0.000399201596806387,0.4375,0.0015695067264574,0.00195188845207738,"any error type",0.00195188845207738
