"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities < 288.00000","xgboost",89,22,0.2472,0.1574,47,10,0.2128,0.1333,0.1978,0.229,47,10,0.2128,0.0077,0.0112,0.216
"1","total_deductions_by_hh_size >= 14.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",140,32,0.2286,0.157,76,21,0.2763,0.28,0.3663,0.37,76,21,0.2763,0.0162,0.0208,0.349
"1","unc_rawben_rel_max >=  -0.01600 & unc_rawben_rel_max <   0.00344 & utilities >= 502.00000","xgboost",65,17,0.2615,0.1567,28,5,0.1786,0.0667,0.0991,0.136,28,5,0.1786,0.0039,0.0056,0.129
"1","rawben_rel_max <   0.79000 & shelter_expenses_by_hh_size < 284.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344","xgboost",51,14,0.2745,0.1562,27,6,0.2222,0.08,0.1302,0.131,27,6,0.2222,0.0046,0.0074,0.124
"1","cat_elig <  2.00000 & elderly_disabled_i <  1.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",42,12,0.2857,0.1556,26,7,0.2692,0.0933,0.1551,0.127,26,7,0.2692,0.0054,0.0088,0.119
"1","rawben_rel_max <    0.72400 & shelter_expenses_by_hh_size < 1210.00000 & unc_rawben_rel_max >=   -0.00400 & unc_rawben_rel_max <    0.00344","xgboost",179,39,0.2179,0.155,92,21,0.2283,0.28,0.3733,0.448,92,21,0.2283,0.0162,0.0212,0.423
"1","months_since_cert_n < 21.00000 & rawben_rel_max <  0.48500 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",182,39,0.2143,0.1523,96,22,0.2292,0.2933,0.3933,0.467,96,22,0.2292,0.017,0.0224,0.441
"1","rawben_rel_max <   0.79400 & total_deductions_by_hh_size < 650.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344","xgboost",178,38,0.2135,0.1511,94,23,0.2447,0.3067,0.3967,0.457,94,23,0.2447,0.0178,0.0226,0.432
"1","shelter_expenses_by_hh_size < 802.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344","xgboost",146,32,0.2192,0.1504,77,18,0.2338,0.24,0.3147,0.375,77,18,0.2338,0.0139,0.0179,0.354
"1","elderly_disabled_i <=   0.500 & percent_abawd >   0.500 & rawben_rel_max <=   0.802 & total_deductions_by_hh_size <= 105.000","ranger",53,14,0.2642,0.1501,21,3,0.1429,0.04,0.039,0.102,22,4,0.1818,0.0031,0.0025,0.101
"1","total_deductions_by_hh_size <= 343.00000 & unc_rawben_rel_max >  -0.00915 & unc_rawben_rel_max <=  -0.00172","ranger",136,30,0.2206,0.1495,74,18,0.2432,0.24,0.3147,0.36,74,18,0.2432,0.0139,0.0179,0.34
"1","rawben_rel_max <   0.69400 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities < 369.00000","xgboost",115,26,0.2261,0.1489,64,14,0.2188,0.1867,0.2638,0.311,64,14,0.2188,0.0108,0.015,0.294
"1","elderly_disabled_i >  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",147,31,0.2109,0.1436,78,17,0.2179,0.2267,0.2665,0.38,78,17,0.2179,0.0131,0.0152,0.358
"1","expedited_i >   0.500 & percent_abawd >   0.750 & rawben_rel_max <=   0.799 & total_deductions_by_hh_size <= 338.000","ranger",27,8,0.2963,0.1407,5,0,0,0,0,0.024,7,2,0.2857,0.0015,0.0017,0.032
"1","months_since_cert_n >=  3.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",150,31,0.2067,0.1406,73,19,0.2603,0.2533,0.297,0.355,73,19,0.2603,0.0147,0.0169,0.335
"1","months_since_cert_n >=  2.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",162,33,0.2037,0.1402,81,21,0.2593,0.28,0.3469,0.394,81,21,0.2593,0.0162,0.0197,0.372
"1","months_since_cert_n <  3.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",52,13,0.25,0.1386,30,5,0.1667,0.0667,0.1246,0.146,30,5,0.1667,0.0039,0.0071,0.138
"1","shelter_expenses_by_hh_size >= 1050.00000 & unc_rawben_rel_max >=   -0.00400 & unc_rawben_rel_max <    0.00344","xgboost",37,10,0.2703,0.1383,17,5,0.2941,0.0667,0.0866,0.083,17,5,0.2941,0.0039,0.0049,0.078
"1","percent_abawd <  1.00000 & rawben_rel_max <  0.71200 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",184,36,0.1957,0.1367,98,21,0.2143,0.28,0.3469,0.477,98,21,0.2143,0.0162,0.0197,0.45
"1","elderly_disabled_i <=  0.500 & rawben_rel_max <=  0.649 & shelter_expenses_by_hh_size <= 49.500 & total_deductions_by_hh_size <= 56.700","ranger",80,18,0.225,0.1359,25,2,0.08,0.0267,0.0276,0.122,25,2,0.08,0.0015,0.0016,0.115
"1","rawben_rel_max <   0.66000 & shelter_expenses_by_hh_size >= 435.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344","xgboost",114,24,0.2105,0.1359,58,18,0.3103,0.24,0.2914,0.282,58,18,0.3103,0.0139,0.0166,0.266
"1","total_deductions_by_hh_size < 252.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities < 288.00000","xgboost",64,15,0.2344,0.135,27,4,0.1481,0.0533,0.0483,0.131,27,4,0.1481,0.0031,0.0027,0.124
"1","expedited_i <= 0.500 & percent_abawd > 0.750 & rawben_rel_max <= 0.673 & total_deductions_by_hh_size <= 8.900","ranger",38,10,0.2632,0.1344,24,1,0.0417,0.0133,0.0118,0.117,24,1,0.0417,8e-04,7e-04,0.11
"1","rawben_rel_max <   0.79000 & shelter_expenses_by_hh_size >= 284.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344","xgboost",151,30,0.1987,0.1342,76,18,0.2368,0.24,0.2914,0.37,76,18,0.2368,0.0139,0.0166,0.349
"1","cat_elig >=  2.00000 & elderly_disabled_i <  1.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",19,6,0.3158,0.134,2,1,0.5,0.0133,0.0249,0.01,2,1,0.5,8e-04,0.0014,0.009
"1","percent_abawd >  0.750 & shelter_expenses_by_hh_size <= 49.500 & total_deductions_by_hh_size <= 63.500 & unc_rawben_rel_max <=  0.805","ranger",44,11,0.25,0.1315,15,1,0.0667,0.0133,0.0118,0.073,15,1,0.0667,8e-04,7e-04,0.069
