"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame","side","status","mean_threshold_shift_pct"
"4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","ranger",10,5,0.5,0.2037,11,1,0.0909,0.004,0.0055,0.259,13,3,0.2308,0.0042,0.0035,0.276,"earned_income","old","shifted",NA
"1","expedited_i <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.17 & utilities <= 364.00","ranger",21,14,0.6667,0.4164,14,7,0.5,0.0359,0.033,0.068,14,7,0.5,0.0054,0.0056,0.064,"unearned_income","old","dropped",NA
"1","children_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 312.00","ranger",18,12,0.6667,0.3983,4,2,0.5,0.0103,0.0167,0.019,5,3,0.6,0.0023,0.0043,0.023,"unearned_income","old","overlap",NA
"1","total_deductions_by_hh_size <= 1590.00 & unc_rawben_rel_max >    2.67 & utilities >  598.00","ranger",15,10,0.6667,0.3758,6,0,0,0,0,0.029,7,1,0.1429,8e-04,0.0014,0.032,"unearned_income","old","shifted",NA
"1","medical_deductions <= 148.00 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 340.00","ranger",17,11,0.6471,0.3741,5,2,0.4,0.0103,0.0167,0.024,6,3,0.5,0.0023,0.0043,0.028,"unearned_income","old","shifted",NA
"1","count_divisible_by_100 <=   0.50 & medical_deductions > 132.00 & unc_rawben_rel_max >   2.98","ranger",10,7,0.7,0.3493,1,1,1,0.0051,0.0083,0.005,2,2,1,0.0015,0.0019,0.009,"unearned_income","old","shifted",NA
"1","medical_deductions >  112.0 & total_deductions_by_hh_size > 1780.0 & unc_rawben_rel_max >    2.9","ranger",10,7,0.7,0.3493,4,1,0.25,0.0051,0.0083,0.019,5,2,0.4,0.0015,0.0019,0.023,"unearned_income","old","shifted",NA
"1","months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 302.00","ranger",16,10,0.625,0.348,3,2,0.6667,0.0103,0.0167,0.015,4,3,0.75,0.0023,0.0043,0.018,"unearned_income","old","shifted",NA
"1","cat_elig >   0.500 & medical_deductions > 134.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max >   2.750","ranger",12,8,0.6667,0.347,3,1,0.3333,0.0051,0.0083,0.015,4,2,0.5,0.0015,0.0019,0.018,"unearned_income","old","overlap",NA
"1","months_since_cert_n >   6.50 & months_since_cert_n <=  24.50 & unc_rawben_rel_max >   1.95 & utilities <= 288.00","ranger",14,9,0.6429,0.347,3,2,0.6667,0.0103,0.0167,0.015,4,3,0.75,0.0023,0.0043,0.018,"unearned_income","old","shifted",NA
"1","elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 874.00 & unc_rawben_rel_max >   1.81 & utilities <= 364.00","ranger",50,24,0.48,0.3258,25,14,0.56,0.0718,0.0704,0.121,26,15,0.5769,0.0116,0.0134,0.119,"unearned_income","old","shifted",NA
"1","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","ranger",15,9,0.6,0.3199,1,0,0,0,0,0.005,1,0,0,0,0,0.005,"unearned_income","old","dropped",NA
"1","medical_deductions > 130.00 & unc_rawben_rel_max >   2.75","ranger",13,8,0.6154,0.3156,4,1,0.25,0.0051,0.0083,0.019,5,2,0.4,0.0015,0.0019,0.023,"unearned_income","old","shifted",NA
"1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","ranger",13,8,0.6154,0.3156,5,0,0,0,0,0.024,5,0,0,0,0,0.023,"unearned_income","old","shifted",NA
"1","expedited_i <=   0.50 & months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities <= 364.00","ranger",34,17,0.5,0.3147,18,6,0.3333,0.0308,0.0298,0.087,18,6,0.3333,0.0046,0.0051,0.083,"unearned_income","old","shifted",NA
"1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","ranger",11,7,0.6364,0.3116,4,0,0,0,0,0.019,5,1,0.2,8e-04,7e-04,0.023,"unearned_income","old","shifted",NA
"1","unc_rawben_rel_max >   1.95 & utilities >  55.50 & utilities <= 288.00","ranger",11,7,0.6364,0.3116,3,0,0,0,0,0.015,3,0,0,0,0,0.014,"unearned_income","old","shifted",NA
