"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,34886,37627,1,0.0533393573763521,1,1,"frame only (mined error type)",1
0.1,10735,25620,0.680894038855077,0.0714285714285714,0.911808669656203,0.905862180433163,"frame only (mined error type)",0.905862180433163
0.15,4786,9270,0.246365641693465,0.104422869471413,0.482311908320877,0.471838062711698,"frame only (mined error type)",0.471838062711698
0.2,2556,3718,0.0988120232811545,0.14873587950511,0.27553562531141,0.263734873719273,"frame only (mined error type)",0.263734873719273
0.25,1375,1838,0.0488479017726632,0.182807399347116,0.167414050822123,0.171469831766244,"frame only (mined error type)",0.171469831766244
0.3,615,1219,0.0323969489993887,0.2149302707137,0.130543099152965,0.14017722871077,"frame only (mined error type)",0.14017722871077
0.35,248,815,0.0216599782071385,0.249079754601227,0.101145989038366,0.113694818062993,"frame only (mined error type)",0.113694818062993
0.4,130,427,0.011348233980918,0.285714285714286,0.0607872446437469,0.073319419263257,"frame only (mined error type)",0.073319419263257
0.45,70,258,0.00685677837722912,0.352713178294574,0.0453413054309915,0.0563765793874998,"frame only (mined error type)",0.0563765793874998
0.5,42,128,0.0034018125282377,0.4296875,0.0274040857000498,0.0365771387612261,"frame only (mined error type)",0.0365771387612261
0.55,24,66,0.00175405958487256,0.46969696969697,0.0154459392127554,0.0215914041967084,"frame only (mined error type)",0.0215914041967084
0.6,12,47,0.00124910303771228,0.553191489361702,0.012954658694569,0.0181128866776293,"frame only (mined error type)",0.0181128866776293
0.65,4,8,0.000212613283014856,0.375,0.00149476831091181,0.00315174769152928,"frame only (mined error type)",0.00315174769152928
0.7,1,5,0.000132883301884285,0.4,0.000996512207274539,0.00211873339798457,"frame only (mined error type)",0.00211873339798457
0.05,34886,40080,1,0.11127744510978,1,1,"any error type",1
0.1,10735,27649,0.689845309381238,0.139571051394264,0.8652466367713,0.840150345459232,"any error type",0.840150345459232
0.15,4786,10016,0.249900199600798,0.171126198083067,0.384304932735426,0.359426495134042,"any error type",0.359426495134042
0.2,2556,4024,0.100399201596806,0.213469184890656,0.192600896860987,0.171228163247942,"any error type",0.171228163247942
0.25,1375,1977,0.0493263473053892,0.240263024785028,0.106502242152466,0.0972941320727804,"any error type",0.0972941320727804
0.3,615,1290,0.032185628742515,0.258139534883721,0.0746636771300448,0.0696023402642056,"any error type",0.0696023402642056
0.35,248,860,0.0214570858283433,0.288372093023256,0.0556053811659193,0.0521066631966428,"any error type",0.0521066631966428
0.4,130,448,0.0111776447105788,0.319196428571429,0.0320627802690583,0.0311163550735336,"any error type",0.0311163550735336
0.45,70,269,0.00671157684630739,0.379182156133829,0.0228699551569507,0.0225543213058634,"any error type",0.0225543213058634
0.5,42,137,0.00341816367265469,0.467153284671533,0.0143497757847534,0.0151434012407004,"any error type",0.0151434012407004
0.55,24,71,0.00177145708582834,0.507042253521127,0.00807174887892377,0.00881227587691091,"any error type",0.00881227587691091
0.6,12,50,0.00124750499001996,0.58,0.00650224215246637,0.00726828206289585,"any error type",0.00726828206289585
0.65,4,8,0.000199600798403194,0.375,0.000672645739910314,0.0011223358599445,"any error type",0.0011223358599445
0.7,1,5,0.000124750499001996,0.4,0.000448430493273543,0.000754479959360681,"any error type",0.000754479959360681
