"target","seed","budget","precision_base","precision_cand","precision_ps_pure","precision_pct_pure","precision_base_slt","precision_cand_slt","dollar_recall_base","dollar_recall_cand","dollar_recall_ps_pure","dollar_recall_pct_pure","dollar_recall_base_slt","dollar_recall_cand_slt","d_prec_slt_on_base","d_doll_slt_on_base","d_prec_slt_on_cand","d_doll_slt_on_cand","d_prec_pkg_replication","d_doll_pkg_replication","d_prec_persize_on_base","d_doll_persize_on_base","d_prec_pct_replaces_persize_vs_base","d_doll_pct_replaces_persize_vs_base","d_prec_pct_vs_persize","d_doll_pct_vs_persize"
"Louisiana",20260805,0.05,0.3256,0.3023,0.2558,0.2558,0.2791,0.2791,0.1801,0.1519,0.1505,0.1061,0.158,0.1871,-0.0465,-0.0221,-0.0232,0.0352,-0.0233,-0.0282,-0.0698,-0.0296,-0.0698,-0.074,0,-0.0444
"Louisiana",20260805,0.1,0.3103,0.2759,0.2989,0.2759,0.2414,0.2529,0.3508,0.3008,0.2771,0.2963,0.2667,0.3046,-0.0689,-0.0841,-0.023,0.00379999999999997,-0.0344,-0.05,-0.0114,-0.0737,-0.0344,-0.0545,-0.023,0.0192
"Louisiana",31415,0.05,0.2326,0.2093,0.2093,0.3023,0.2791,0.2558,0.0883,0.1194,0.0849,0.1282,0.1472,0.1473,0.0465,0.0589,0.0465,0.0279,-0.0233,0.0311,-0.0233,-0.0034,0.0697,0.0399,0.093,0.0433
"Louisiana",31415,0.1,0.2874,0.2414,0.2529,0.2759,0.2759,0.2299,0.2874,0.229,0.2674,0.2877,0.3116,0.2479,-0.0115,0.0242,-0.0115,0.0189,-0.046,-0.0584,-0.0345,-0.02,-0.0115,0.000300000000000022,0.023,0.0203
"Maine",117,0.05,0.2174,0.1957,0.3043,0.2391,0.2826,0.3261,0.137,0.1349,0.1819,0.1371,0.1698,0.1613,0.0652,0.0328,0.1304,0.0264,-0.0217,-0.00210000000000002,0.0869,0.0449,0.0217,9.9999999999989e-05,-0.0652,-0.0448
"Maine",117,0.1,0.2609,0.2609,0.2609,0.2935,0.2283,0.3152,0.2474,0.2778,0.2564,0.3189,0.2388,0.3263,-0.0326,-0.0086,0.0543,0.0485,0,0.0304,0,0.00900000000000001,0.0326,0.0715,0.0326,0.0625
"Maine",20260805,0.05,0.2174,0.2609,0.2391,0.2391,0.1739,0.2391,0.1479,0.1268,0.1782,0.1493,0.135,0.1657,-0.0435,-0.0129,-0.0218,0.0389,0.0435,-0.0211,0.0217,0.0303,0.0217,0.00139999999999998,0,-0.0289
"Maine",20260805,0.1,0.25,0.2391,0.2609,0.2391,0.25,0.25,0.2753,0.2459,0.2972,0.2498,0.2586,0.294,0,-0.0167,0.0109,0.0481,-0.0109,-0.0294,0.0109,0.0219,-0.0109,-0.0255,-0.0218,-0.0474
"Maine",31415,0.05,0.2391,0.2609,0.1739,0.2826,0.2391,0.3043,0.1613,0.1489,0.0859,0.1681,0.1473,0.1714,0,-0.014,0.0434,0.0225,0.0218,-0.0124,-0.0652,-0.0754,0.0435,0.0068,0.1087,0.0822
"Maine",31415,0.1,0.25,0.25,0.2065,0.2826,0.2826,0.2935,0.2669,0.2747,0.2258,0.2822,0.3027,0.2903,0.0326,0.0358,0.0435,0.0156,0,0.00779999999999997,-0.0435,-0.0411,0.0326,0.0153,0.0761,0.0564
