"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.1255,0.086,-0.2236,-0.3087,-0.4499,0.1515,-0.5234,0.2257,0.5337,0.2583,0.1118,0.6282,0.2667,0.038,0.3604,0.1055,-0.1997,-0.1262,-0.1113,-0.0352,-0.2838,0.2009,0.2245,-0.3942,-0.1922,0.0281,-0.1219,-0.3012,-0.1167,-0.3517,0.3635,0.1777,0.118,0.3443,0.3168,-0.4436,-0.1212,0.5535,-0.2754,0.0268,0.3666,-0.1795,-0.1776,-0.2658,-0.3621,-0.0679,0.014,0.1535
"Arizona",0.1255,1,0.0369,-0.0482,0.0069,-0.1082,0.1527,-0.0413,0.0196,0.0388,-0.0099,0.2995,0.3667,-0.1983,-0.3144,0.2933,0.061,-0.2148,0.0471,-0.2244,-0.0862,0.0219,-0.001,-0.2502,0.2947,0.0084,0.1408,0.1332,0.155,0.4291,-0.2963,0.0964,-0.231,-0.2177,0.5458,-0.3295,-0.1094,0.1873,0.1395,-0.2423,-0.0968,-0.0051,0.1624,-0.3447,-0.1055,-0.2373,0.0823,-0.1187,-0.1609
"Arkansas",0.086,0.0369,1,-0.269,-0.1481,-0.1029,0.377,-0.4263,0.143,0.0379,-0.2018,-0.1069,0.058,-0.1524,0.3316,0.2336,0.6911,0.3331,-0.0261,-0.0837,-0.0958,-0.2583,0.2765,0.3164,-0.2086,-0.5314,-0.0111,-0.0715,0.0793,-0.0765,-0.008,0.0508,-0.3148,0.0643,0.0333,-0.28,-0.2007,-0.1855,0.0681,-0.0449,0.3714,0.424,0.1119,-0.3663,0.2458,-0.3271,0.2044,-0.3272,0.0859
"California",-0.2236,-0.0482,-0.269,1,0.2615,0.2615,0.1228,0.6288,-0.3012,-0.1106,-0.4279,0.0871,-0.1643,-0.3486,-0.2422,-0.0444,-0.0306,-0.1262,-0.0689,0.1837,-0.0025,0.2194,-0.1738,-0.164,0.2941,-0.188,-0.0596,-0.2597,-0.0713,0.5517,-0.052,-0.3341,-0.3233,-0.2398,-0.1437,0.3537,0.148,0.2285,-0.2168,0.0971,0.0259,-0.3937,0.0049,0.0313,0.3493,0.1253,-0.2179,-0.3516,-0.3569
"Colorado",-0.3087,0.0069,-0.1481,0.2615,1,0.4711,0.182,0.4152,-0.0423,-0.3369,0.0999,-0.4839,-0.3341,-0.1473,0.1009,-0.2251,-0.1397,-0.0618,0.0038,0.3969,0.1327,0.1958,-0.1285,0.1595,0.1957,-0.0639,-0.1141,-0.0515,0.299,0.1375,0.0169,-0.3042,-0.1475,0.0481,0.0756,-0.3758,0.3395,0.1589,-0.2753,-0.3568,-0.4617,-0.1073,-0.0429,0.2973,-0.1054,-0.0522,0.1863,-0.4313,-0.2868
"Connecticut",-0.4499,-0.1082,-0.1029,0.2615,0.4711,1,0.1964,0.6213,-0.358,-0.6957,8e-04,-0.4007,-0.376,-0.3908,0.1053,0.1451,0.0968,-0.0157,-0.2771,0.2024,0.4956,0.062,-0.0527,-0.0281,0.4945,-0.1153,-0.2698,-0.3694,0.507,0.4895,0.3138,-0.4283,-0.3852,0.2314,0.2383,-0.326,0.7929,0.2679,-0.6464,-0.2971,-0.4538,-0.3261,-0.3545,0.2871,0.355,0.1901,0.6975,-0.3152,-0.5709
"Delaware",0.1515,0.1527,0.377,0.1228,0.182,0.1964,1,-0.2867,0.4193,0.0654,-0.231,-0.0013,0.0461,-0.1089,-0.2645,0.6464,0.4756,-0.0864,0.442,0.0142,0.2213,0.0671,0.6062,-0.1373,0.0627,-0.5439,0.1061,-0.2502,0.1397,0.3596,-0.2265,0.166,-0.5377,0.6044,0.2419,-0.0824,-0.1211,-0.2171,0.2157,-0.535,0.2451,0.1656,-0.0909,-0.5939,-3e-04,-0.1653,0.4441,-0.3714,-0.52
"District of Columbia",-0.5234,-0.0413,-0.4263,0.6288,0.4152,0.6213,-0.2867,1,-0.5321,-0.6054,-0.2298,-0.2698,-0.1903,-0.4919,-0.0454,-0.3205,-0.2952,0.0312,-0.3589,0.1898,0.0673,0.1811,-0.4753,-0.1403,0.4526,0.171,-0.1744,-0.1748,0.3807,0.5061,0.3006,-0.5675,-0.2545,-0.3264,0.0999,-0.0861,0.6377,0.34,-0.6241,0.141,-0.3824,-0.6066,0.0257,0.4823,0.2093,0.2425,-0.0254,-0.1818,-0.3741
"Florida",0.2257,0.0196,0.143,-0.3012,-0.0423,-0.358,0.4193,-0.5321,1,0.474,0.1969,0.0563,0.2238,0.4718,-0.4647,0.3356,0.1153,0.2486,0.6314,-0.3045,-0.2684,-0.0262,0.536,-0.4354,-0.5443,0.052,0.2467,0.3934,-0.1923,-0.2864,-0.3222,0.827,-0.198,0.4121,-0.166,0.134,-0.3471,-0.5487,0.6888,-0.4326,0.2597,0.6072,0.1482,-0.5797,-0.3777,-0.0374,-0.1107,0.0936,-0.1387
"Georgia",0.5337,0.0388,0.0379,-0.1106,-0.3369,-0.6957,0.0654,-0.6054,0.474,1,0.0456,0.4753,0.0973,0.4175,-0.1734,0.0036,0.0886,-0.1778,0.3589,-0.3669,-0.2076,-0.3108,0.1201,0.0286,-0.406,0.0043,0.2082,0.1386,-0.4547,-0.3021,-0.5579,0.6009,0.3085,-0.1122,-0.3311,0.631,-0.548,-0.1478,0.6526,0.0119,0.3356,0.4426,0.1899,-0.2511,-0.1034,-0.2637,-0.3172,0.256,0.4313
"Idaho",0.2583,-0.0099,-0.2018,-0.4279,0.0999,8e-04,-0.231,-0.2298,0.1969,0.0456,1,-0.2859,0.1781,0.733,0.1406,0.1316,-0.3759,0.0456,-0.0299,-0.2613,-0.0199,-0.1914,-0.1713,-0.0239,-0.2255,0.5706,-0.0435,0.2316,-0.2339,-0.2775,-0.2688,0.3462,0.5596,0.3249,0.1831,-0.1225,-0.0604,-0.3222,0.1882,-0.2199,-0.308,0.3602,-0.2214,0.1655,-0.3064,-0.2603,0.1511,0.2881,0.3177
"Illinois",0.1118,0.2995,-0.1069,0.0871,-0.4839,-0.4007,-0.0013,-0.2698,0.0563,0.4753,-0.2859,1,0.0159,0.0922,-0.3538,-0.0505,0.0534,-0.1301,0.0819,-0.1433,-0.0743,0.3136,-0.0525,-0.2472,0.0226,-0.1473,0.1,0.307,-0.4404,0.107,-0.3966,0.07,0.0739,-0.1292,-0.2089,0.5521,-0.4808,0.4195,0.1271,0.0988,0.3803,-0.0585,0.1654,-0.3615,0.14,-0.0503,-0.3238,0.0893,0.0569
"Indiana",0.6282,0.3667,0.058,-0.1643,-0.3341,-0.376,0.0461,-0.1903,0.2238,0.0973,0.1781,0.0159,1,0.0834,-0.2195,0.4155,0.0547,-0.022,-0.013,-0.1879,-0.2711,-0.1285,0.0613,-0.2105,-0.4037,0.0958,0.107,0.0771,-0.1353,0.177,-0.2535,0.2484,-0.092,0.0676,0.6071,-0.0049,-0.4393,-0.3612,0.4216,-0.0724,0.266,0.0154,0.1868,-0.4212,-0.2387,-0.2282,-0.2671,0.0069,0.0045
"Iowa",0.2667,-0.1983,-0.1524,-0.3486,-0.1473,-0.3908,-0.1089,-0.4919,0.4718,0.4175,0.733,0.0922,0.0834,1,0.0097,-0.0267,-0.295,0.082,0.1909,-0.3784,-0.0037,-0.0777,-0.0569,-0.0905,-0.3104,0.4989,0.1384,0.315,-0.675,-0.3949,-0.5268,0.4929,0.6565,0.475,-0.1405,0.3354,-0.4825,-0.435,0.3341,-0.0484,0.1606,0.5015,0.1444,-0.1409,-0.4423,-0.2012,-0.1955,0.4888,0.4118
"Kansas",0.038,-0.3144,0.3316,-0.2422,0.1009,0.1053,-0.2645,-0.0454,-0.4647,-0.1734,0.1406,-0.3538,-0.2195,0.0097,1,-0.3734,0.2896,-0.2551,-0.5265,0.0887,0.1927,-0.1922,-0.2762,0.9109,0.0325,-0.1347,-0.2796,-0.1045,-0.0496,-0.2991,0.0114,-0.3789,0.3476,-0.0939,-0.0259,-0.211,0.1409,0.1728,-0.3766,0.3574,-0.0197,-0.0838,0.0617,0.5002,0.1888,-0.2473,0.1743,-0.0535,0.5441
"Kentucky",0.3604,0.2933,0.2336,-0.0444,-0.2251,0.1451,0.6464,-0.3205,0.3356,0.0036,0.1316,-0.0505,0.4155,-0.0267,-0.3734,1,0.339,-0.0771,0.2653,-0.0939,0.0688,-0.2357,0.6698,-0.3779,-0.1311,-0.2793,0.0432,-0.2674,0.081,0.3485,-0.0255,0.4067,-0.4486,0.4287,0.431,-0.152,-0.0461,-0.3861,0.4481,-0.4216,0.076,0.2414,-0.3798,-0.5929,0.0989,0.0125,0.4726,-0.2183,-0.4379
"Louisiana",0.1055,0.061,0.6911,-0.0306,-0.1397,0.0968,0.4756,-0.2952,0.1153,0.0886,-0.3759,0.0534,0.0547,-0.295,0.2896,0.339,1,-0.2265,-0.0492,-0.0559,0.2376,-0.2684,0.4081,0.2958,-0.1241,-0.6419,-0.0434,-0.2329,-0.0487,0.202,-0.176,0.0614,-0.5076,0.0853,0.0699,-0.0457,-0.0601,-0.0386,0.0082,-0.0216,0.4919,0.1121,0.1907,-0.4942,0.5456,-0.0612,0.3354,-0.3998,-0.0791
"Maine",-0.1997,-0.2148,0.3331,-0.1262,-0.0618,-0.0157,-0.0864,0.0312,0.2486,-0.1778,0.0456,-0.1301,-0.022,0.082,-0.2551,-0.0771,-0.2265,1,0.015,0.0087,-0.3167,0.1214,-0.0522,-0.3514,-0.1709,0.1026,-0.0364,0.2268,0.1732,-0.2328,0.3474,0.1256,-0.1478,0.0751,-0.2029,-0.089,0.0213,-0.1946,-0.0492,-0.2396,-0.0932,0.4206,-0.1356,-0.0496,-0.1875,-0.0435,-0.1353,0.0639,-0.2068
"Maryland",-0.1262,0.0471,-0.0261,-0.0689,0.0038,-0.2771,0.442,-0.3589,0.6314,0.3589,-0.0299,0.0819,-0.013,0.1909,-0.5265,0.2653,-0.0492,0.015,1,-0.309,-0.2407,0.137,0.4045,-0.4274,-0.2564,0.1525,0.2199,0.2488,0.0765,-0.1489,-0.1494,0.4758,-0.0706,0.2838,-0.2593,0.0013,-0.3043,-0.4841,0.5559,-0.0998,0.3701,0.1113,0.1138,-0.443,-0.1418,0.079,-0.0945,0.1051,0.0145
"Massachusetts",-0.1113,-0.2244,-0.0837,0.1837,0.3969,0.2024,0.0142,0.1898,-0.3045,-0.3669,-0.2613,-0.1433,-0.1879,-0.3784,0.0887,-0.0939,-0.0559,0.0087,-0.309,1,0.0339,0.1954,0.0644,0.1499,0.0487,-0.3772,-0.2337,-0.1877,0.1627,-0.0598,0.488,-0.396,-0.2073,-0.0894,-0.0758,-0.1703,0.1945,0.247,-0.2675,-0.101,-0.2849,-0.2715,-0.355,0.2287,0.0541,0.1706,0.0657,-0.2737,-0.2981
"Michigan",-0.0352,-0.0862,-0.0958,-0.0025,0.1327,0.4956,0.2213,0.0673,-0.2684,-0.2076,-0.0199,-0.0743,-0.2711,-0.0037,0.1927,0.0688,0.2376,-0.3167,-0.2407,0.0339,1,-0.1442,0.1055,0.2178,0.5375,-0.1265,-0.1656,-0.6726,-0.0437,0.3718,-0.0022,-0.3127,0.0795,0.439,0.352,0.0327,0.2382,0.1851,-0.4565,-0.1608,-0.1256,-0.0548,-0.0236,-0.0257,0.0659,0.2628,0.5821,0.0527,-0.2596
"Minnesota",-0.2838,0.0219,-0.2583,0.2194,0.1958,0.062,0.0671,0.1811,-0.0262,-0.3108,-0.1914,0.3136,-0.1285,-0.0777,-0.1922,-0.2357,-0.2684,0.1214,0.137,0.1954,-0.1442,1,-0.1056,-0.1404,0.1596,-0.0843,-0.0802,0.52,0.0146,-0.0631,0.0344,-0.293,-0.118,0.1367,-0.1877,-0.0637,-0.0966,0.4389,-0.1901,-0.1588,-3e-04,-0.3306,-0.0961,0.0014,-0.1445,0.0234,-0.2688,-0.2314,-0.2577
"Mississippi",0.2009,-0.001,0.2765,-0.1738,-0.1285,-0.0527,0.6062,-0.4753,0.536,0.1201,-0.1713,-0.0525,0.0613,-0.0569,-0.2762,0.6698,0.4081,-0.0522,0.4045,0.0644,0.1055,-0.1056,1,-0.1756,-0.3023,-0.51,0.0256,-0.1852,0.0026,-0.0426,0.2216,0.4312,-0.4558,0.3332,0.0211,-0.127,-0.0968,-0.2978,0.5803,-0.279,0.0936,0.4154,-0.2501,-0.5413,-0.0492,0.4241,0.2647,-0.2902,-0.4046
