"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"New Hampshire",0.8792,0.9363,0.825,0.9046,0.9541,0.9388,0.9167,0.8659,0.9446,0.9347,0.9425,0.9164,0.878,0.9362,0.861,0.8773,0.831,0.9476,0.9506,0.9426,0.9282,0.932,0.8692,0.8813,0.9319,0.9471,0.9262,1,0.9405,0.8978,0.9452,0.9717,0.9639,0.9286,0.889,0.922,0.9318,0.9291,0.9193,0.917,0.8767,0.936,0.9023,0.9144,0.837,0.923,0.8891,0.9308,0.8899
"New Jersey",0.9282,0.9163,0.856,0.9645,0.9271,0.9545,0.9605,0.9106,0.9182,0.9233,0.926,0.9651,0.9274,0.9118,0.904,0.9184,0.8769,0.9674,0.9419,0.9514,0.9669,0.975,0.8995,0.9229,0.9783,0.9454,0.9004,0.9405,1,0.9441,0.9554,0.9492,0.9288,0.9696,0.9342,0.9696,0.9638,0.9416,0.8965,0.9387,0.9143,0.927,0.8783,0.9278,0.8815,0.9652,0.9431,0.9724,0.8677
"New Mexico",0.977,0.9429,0.9122,0.9527,0.9044,0.8937,0.9504,0.9658,0.9324,0.9452,0.9446,0.9597,0.9502,0.9334,0.9357,0.9803,0.9221,0.9199,0.9268,0.8863,0.9342,0.937,0.9554,0.9444,0.9442,0.9308,0.9338,0.8978,0.9441,1,0.8857,0.9135,0.8967,0.9434,0.9833,0.9386,0.915,0.8803,0.9421,0.9093,0.9497,0.9558,0.9055,0.8515,0.9114,0.9455,0.9532,0.9544,0.8805
"New York",0.8672,0.8713,0.7918,0.9214,0.9029,0.9791,0.9238,0.858,0.8892,0.8836,0.8806,0.9254,0.8619,0.8744,0.8509,0.8554,0.827,0.9692,0.9098,0.9779,0.9437,0.9393,0.8362,0.8771,0.9428,0.9106,0.8582,0.9452,0.9554,0.8857,1,0.9352,0.9307,0.9361,0.8691,0.94,0.9591,0.9716,0.8492,0.9394,0.859,0.8848,0.8301,0.9762,0.8374,0.9257,0.8961,0.9351,0.829
"North Carolina",0.9037,0.9515,0.8451,0.9235,0.967,0.932,0.9305,0.8811,0.9449,0.9559,0.9576,0.9327,0.8991,0.9556,0.8829,0.9022,0.8491,0.9431,0.9577,0.9372,0.9535,0.9513,0.8918,0.9026,0.955,0.9757,0.935,0.9717,0.9492,0.9135,0.9352,1,0.976,0.9567,0.91,0.9356,0.9521,0.924,0.9333,0.9215,0.8939,0.9488,0.9064,0.901,0.8542,0.9424,0.9247,0.953,0.9103
"North Dakota",0.8911,0.9365,0.8295,0.9045,0.9584,0.9256,0.9087,0.8662,0.9254,0.9448,0.9457,0.9148,0.879,0.9419,0.87,0.8852,0.8289,0.9319,0.9393,0.9347,0.9398,0.9405,0.878,0.8904,0.9415,0.9629,0.9233,0.9639,0.9288,0.8967,0.9307,0.976,1,0.9388,0.8943,0.9172,0.936,0.9267,0.9237,0.9239,0.8751,0.9322,0.8949,0.904,0.829,0.9194,0.9067,0.9331,0.8976
"Ohio",0.9347,0.9166,0.8856,0.9542,0.9348,0.9462,0.9641,0.9288,0.9111,0.9408,0.9263,0.9674,0.9215,0.9325,0.9237,0.9353,0.8956,0.9655,0.9342,0.9445,0.9893,0.9838,0.9237,0.9353,0.9878,0.9654,0.9115,0.9286,0.9696,0.9434,0.9361,0.9567,0.9388,1,0.939,0.9626,0.9788,0.9388,0.9034,0.9484,0.9288,0.9352,0.8864,0.9143,0.8852,0.9705,0.9729,0.9794,0.8867
"Oklahoma",0.9855,0.9444,0.9103,0.9398,0.892,0.8723,0.9341,0.9568,0.9141,0.9455,0.9476,0.9448,0.9672,0.9245,0.9339,0.9848,0.9107,0.905,0.9077,0.8672,0.9208,0.9262,0.9534,0.9409,0.937,0.9309,0.9188,0.889,0.9342,0.9833,0.8691,0.91,0.8943,0.939,1,0.9197,0.9004,0.8576,0.943,0.9002,0.9463,0.9425,0.8958,0.8326,0.8917,0.9358,0.9522,0.9468,0.8768
"Oregon",0.9166,0.9066,0.8523,0.9754,0.9344,0.9468,0.9752,0.9084,0.9201,0.9245,0.9198,0.978,0.904,0.9203,0.9105,0.9081,0.881,0.9601,0.9471,0.9474,0.9649,0.9683,0.8915,0.931,0.9695,0.9446,0.9004,0.922,0.9696,0.9386,0.94,0.9356,0.9172,0.9626,0.9197,1,0.9616,0.9415,0.8846,0.9287,0.9148,0.929,0.876,0.9224,0.8911,0.9789,0.9581,0.9809,0.872
"Pennsylvania",0.8988,0.8896,0.8444,0.9434,0.9234,0.9713,0.9544,0.8988,0.9019,0.9117,0.9001,0.9554,0.8857,0.909,0.891,0.8958,0.8729,0.9725,0.9246,0.9693,0.9809,0.9701,0.881,0.9102,0.9737,0.9428,0.8868,0.9318,0.9638,0.915,0.9591,0.9521,0.936,0.9788,0.9004,0.9616,1,0.964,0.871,0.9479,0.8979,0.914,0.8572,0.9394,0.8749,0.9579,0.9471,0.9643,0.8596
"Rhode Island",0.8575,0.8578,0.7847,0.9246,0.9033,0.975,0.9275,0.868,0.8788,0.8787,0.8674,0.9312,0.8453,0.8719,0.8491,0.8437,0.8254,0.9582,0.9033,0.9794,0.9531,0.936,0.828,0.877,0.9444,0.9086,0.8535,0.9291,0.9416,0.8803,0.9716,0.924,0.9267,0.9388,0.8576,0.9415,0.964,1,0.8376,0.9399,0.8504,0.876,0.8274,0.9562,0.8425,0.9219,0.8994,0.9321,0.8238
"South Carolina",0.9407,0.967,0.8881,0.8911,0.9356,0.8427,0.902,0.923,0.9536,0.97,0.9676,0.9129,0.9065,0.9593,0.8933,0.9464,0.8762,0.8666,0.9351,0.8519,0.8905,0.8948,0.9386,0.9083,0.8968,0.9407,0.9639,0.9193,0.8965,0.9421,0.8492,0.9333,0.9237,0.9034,0.943,0.8846,0.871,0.8376,1,0.8628,0.9131,0.9662,0.9209,0.8048,0.8594,0.9021,0.9039,0.9141,0.9093
"South Dakota",0.9008,0.875,0.8881,0.9228,0.886,0.9533,0.925,0.8929,0.8661,0.8918,0.8829,0.9329,0.9103,0.8776,0.9286,0.8925,0.9061,0.9543,0.8939,0.9458,0.9491,0.9437,0.8763,0.9356,0.9488,0.9153,0.8618,0.917,0.9387,0.9093,0.9394,0.9215,0.9239,0.9484,0.9002,0.9287,0.9479,0.9399,0.8628,1,0.9278,0.8848,0.8801,0.9211,0.9091,0.9246,0.9225,0.9361,0.8896
"Tennessee",0.946,0.9096,0.9655,0.921,0.8839,0.8658,0.933,0.9291,0.9068,0.9311,0.9139,0.9402,0.9319,0.9138,0.9859,0.948,0.9774,0.9025,0.9053,0.8676,0.9147,0.9193,0.9362,0.9768,0.9196,0.9097,0.906,0.8767,0.9143,0.9497,0.859,0.8939,0.8751,0.9288,0.9463,0.9148,0.8979,0.8504,0.9131,0.9278,1,0.9349,0.9358,0.8269,0.9399,0.931,0.9371,0.9345,0.9324
"Texas",0.939,0.9692,0.8945,0.9282,0.9581,0.8867,0.9429,0.9239,0.9845,0.9792,0.971,0.9439,0.8959,0.9834,0.9213,0.943,0.9059,0.9135,0.9645,0.8897,0.9263,0.9373,0.9389,0.9285,0.9277,0.9572,0.9762,0.936,0.927,0.9558,0.8848,0.9488,0.9322,0.9352,0.9425,0.929,0.914,0.876,0.9662,0.8848,0.9349,1,0.9468,0.8511,0.8776,0.9471,0.9278,0.9477,0.9222
"Utah",0.882,0.9375,0.9018,0.8816,0.9292,0.8329,0.8883,0.8717,0.9425,0.9395,0.9387,0.8882,0.8775,0.9458,0.9326,0.8874,0.9099,0.8593,0.9232,0.8324,0.8802,0.889,0.8813,0.9214,0.8844,0.9234,0.9353,0.9023,0.8783,0.9055,0.8301,0.9064,0.8949,0.8864,0.8958,0.876,0.8572,0.8274,0.9209,0.8801,0.9358,0.9468,1,0.7984,0.8749,0.8964,0.8712,0.8966,0.9598
"Vermont",0.8286,0.8302,0.7583,0.897,0.8749,0.9642,0.9011,0.8213,0.8547,0.8459,0.8424,0.8976,0.8193,0.8444,0.8264,0.8168,0.7958,0.9528,0.8781,0.9592,0.9236,0.9229,0.8004,0.8521,0.9244,0.8818,0.8248,0.9144,0.9278,0.8515,0.9762,0.901,0.904,0.9143,0.8326,0.9224,0.9394,0.9562,0.8048,0.9211,0.8269,0.8511,0.7984,1,0.7929,0.9044,0.8745,0.9139,0.7983
"Virginia",0.8996,0.8619,0.9114,0.9024,0.8404,0.8555,0.8944,0.9092,0.8636,0.8825,0.864,0.923,0.8921,0.8603,0.9314,0.9029,0.9349,0.8654,0.8659,0.8535,0.889,0.874,0.8803,0.9266,0.8764,0.8638,0.8528,0.837,0.8815,0.9114,0.8374,0.8542,0.829,0.8852,0.8917,0.8911,0.8749,0.8425,0.8594,0.9091,0.9399,0.8776,0.8749,0.7929,1,0.8954,0.8989,0.8913,0.8819
"Washington",0.9306,0.9243,0.8796,0.9759,0.9387,0.9348,0.9811,0.9228,0.9301,0.9467,0.9356,0.9781,0.9208,0.9395,0.9274,0.9287,0.8964,0.9566,0.9579,0.9349,0.9658,0.9729,0.9179,0.9413,0.9658,0.9572,0.9208,0.923,0.9652,0.9455,0.9257,0.9424,0.9194,0.9705,0.9358,0.9789,0.9579,0.9219,0.9021,0.9246,0.931,0.9471,0.8964,0.9044,0.8954,1,0.9661,0.9842,0.8945
"West Virginia",0.9506,0.9095,0.9059,0.9566,0.9148,0.9088,0.9575,0.9378,0.8973,0.9377,0.9234,0.9653,0.9326,0.928,0.9347,0.9566,0.9066,0.935,0.9183,0.9072,0.9606,0.9575,0.9361,0.9417,0.9646,0.9506,0.9028,0.8891,0.9431,0.9532,0.8961,0.9247,0.9067,0.9729,0.9522,0.9581,0.9471,0.8994,0.9039,0.9225,0.9371,0.9278,0.8712,0.8745,0.8989,0.9661,1,0.9724,0.8844
"Wisconsin",0.9432,0.9321,0.8838,0.97,0.9424,0.9394,0.9791,0.929,0.9307,0.9497,0.9409,0.9796,0.9325,0.9443,0.9322,0.937,0.8992,0.9599,0.9557,0.9423,0.9728,0.9765,0.9247,0.9477,0.9771,0.9674,0.9251,0.9308,0.9724,0.9544,0.9351,0.953,0.9331,0.9794,0.9468,0.9809,0.9643,0.9321,0.9141,0.9361,0.9345,0.9477,0.8966,0.9139,0.8913,0.9842,0.9724,1,0.8957
"Wyoming",0.8688,0.9197,0.9148,0.8778,0.9221,0.8256,0.881,0.8521,0.9115,0.9333,0.9289,0.8862,0.875,0.9317,0.937,0.8787,0.9015,0.8513,0.9138,0.834,0.8775,0.8862,0.8747,0.9315,0.8797,0.9244,0.9165,0.8899,0.8677,0.8805,0.829,0.9103,0.8976,0.8867,0.8768,0.872,0.8596,0.8238,0.9093,0.8896,0.9324,0.9222,0.9598,0.7983,0.8819,0.8945,0.8844,0.8957,1
