"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.5298,0.4983,0.3545,0.2866,0.2101,0.5426,0.2167,0.5673,0.7408,0.5959,0.5289,0.7951,0.5937,0.488,0.6692,0.5131,0.3499,0.3892,0.3799,0.4415,0.3176,0.5773,0.5862,0.2681,0.3646,0.4673,0.3787,0.3135,0.4302,0.2578,0.6336,0.5344,0.5263,0.6649,0.6167,0.2276,0.3681,0.7471,0.3127,0.4864,0.6528,0.3513,0.3255,0.3169,0.2843,0.4414,0.4786,0.5112
"Arizona",0.5298,1,0.4507,0.4351,0.4801,0.3799,0.5344,0.4323,0.4921,0.5058,0.4883,0.6091,0.6451,0.3861,0.2906,0.613,0.4617,0.3358,0.4991,0.3207,0.4103,0.4689,0.4559,0.3281,0.6052,0.4844,0.5519,0.5348,0.5357,0.686,0.2875,0.5239,0.3528,0.3494,0.7451,0.2885,0.3901,0.5225,0.5532,0.3164,0.4064,0.482,0.55,0.2428,0.3782,0.3435,0.4959,0.4067,0.3794
"Arkansas",0.4983,0.4507,1,0.2957,0.3438,0.35,0.6287,0.2378,0.4981,0.4646,0.3367,0.3909,0.4771,0.3623,0.6455,0.5813,0.8254,0.5909,0.4162,0.3619,0.3855,0.3081,0.612,0.6313,0.3303,0.1682,0.439,0.3767,0.4676,0.4179,0.3919,0.448,0.2573,0.475,0.4718,0.2861,0.3219,0.2996,0.4781,0.4216,0.6685,0.6592,0.5068,0.196,0.5786,0.2763,0.5552,0.2783,0.5003
"California",0.3545,0.4351,0.2957,1,0.5919,0.5968,0.5477,0.7786,0.3062,0.4091,0.2499,0.5323,0.3814,0.284,0.3381,0.4399,0.4279,0.4077,0.435,0.5534,0.4759,0.5885,0.3639,0.3841,0.6283,0.376,0.4221,0.3224,0.4466,0.7522,0.4347,0.2947,0.2906,0.3572,0.3981,0.6646,0.5457,0.5765,0.3372,0.51,0.4734,0.2673,0.4433,0.4641,0.6259,0.5506,0.3693,0.3092,0.2605
"Colorado",0.2866,0.4801,0.3438,0.5919,1,0.6864,0.5532,0.6452,0.4586,0.3126,0.5323,0.2216,0.2668,0.4116,0.4884,0.3304,0.3496,0.4239,0.4844,0.6498,0.5336,0.5676,0.3756,0.526,0.5648,0.4577,0.4201,0.4513,0.613,0.5209,0.4599,0.3314,0.4054,0.4915,0.4838,0.2793,0.6314,0.5311,0.3302,0.2646,0.2111,0.4254,0.4432,0.5861,0.3675,0.4433,0.5505,0.2555,0.3177
"Connecticut",0.2101,0.3799,0.35,0.5968,0.6864,1,0.566,0.7479,0.263,0.092,0.4375,0.267,0.2443,0.2425,0.4813,0.5027,0.4684,0.481,0.3169,0.5912,0.7254,0.5048,0.3957,0.4264,0.7226,0.3986,0.2952,0.2847,0.7308,0.6916,0.6464,0.2519,0.2702,0.5888,0.5553,0.3104,0.8821,0.6214,0.0982,0.3281,0.206,0.2803,0.2392,0.6256,0.6052,0.5625,0.8032,0.3121,0.1274
"Delaware",0.5426,0.5344,0.6287,0.5477,0.5532,0.566,1,0.3242,0.6726,0.5022,0.3464,0.4911,0.4825,0.4086,0.3309,0.786,0.6908,0.4344,0.7011,0.4762,0.5913,0.5162,0.7645,0.4055,0.5123,0.1976,0.5119,0.3333,0.5501,0.655,0.3486,0.5482,0.1855,0.7842,0.588,0.4464,0.4167,0.3552,0.5589,0.195,0.5891,0.5542,0.3987,0.1536,0.4471,0.4079,0.7008,0.3039,0.1805
"District of Columbia",0.2167,0.4323,0.2378,0.7786,0.6452,0.7479,0.3242,1,0.1825,0.1602,0.336,0.3372,0.3658,0.2056,0.434,0.3218,0.3112,0.4609,0.2681,0.5308,0.4949,0.5454,0.2343,0.3905,0.6856,0.5383,0.3648,0.3455,0.6456,0.7359,0.5793,0.1568,0.3059,0.3012,0.5284,0.4111,0.7683,0.604,0.1494,0.517,0.2733,0.1587,0.4487,0.6518,0.5593,0.5826,0.4562,0.3736,0.239
"Florida",0.5673,0.4921,0.4981,0.3062,0.4586,0.263,0.6726,0.1825,1,0.7208,0.5807,0.4918,0.5481,0.7236,0.2138,0.6224,0.4958,0.5742,0.7974,0.2922,0.32,0.4442,0.7177,0.2337,0.1819,0.4979,0.6067,0.669,0.3629,0.323,0.2835,0.886,0.3637,0.6616,0.374,0.5271,0.2774,0.1651,0.8212,0.2167,0.5833,0.7958,0.5453,0.1375,0.2429,0.4463,0.3933,0.5122,0.3864
"Georgia",0.7408,0.5058,0.4646,0.4091,0.3126,0.092,0.5022,0.1602,0.7208,1,0.5119,0.7112,0.506,0.6992,0.3759,0.4741,0.4923,0.3625,0.66,0.2615,0.3626,0.3112,0.5292,0.4816,0.263,0.4868,0.586,0.5367,0.2343,0.3216,0.1628,0.7784,0.6266,0.4143,0.3072,0.7778,0.1818,0.3655,0.8113,0.4519,0.6334,0.7109,0.5647,0.2974,0.3895,0.3415,0.3102,0.6028,0.6823
"Idaho",0.5959,0.4883,0.3367,0.2499,0.5323,0.4375,0.3464,0.336,0.5807,0.5119,1,0.3215,0.5514,0.8528,0.522,0.5348,0.2442,0.4717,0.4641,0.3066,0.4488,0.3683,0.3757,0.4458,0.3507,0.7696,0.4621,0.5871,0.346,0.3336,0.3059,0.6519,0.7527,0.6256,0.5654,0.3986,0.4198,0.2726,0.5779,0.3315,0.3029,0.6656,0.3587,0.504,0.2788,0.3376,0.5372,0.6145,0.6233
"Illinois",0.5289,0.6091,0.3909,0.5323,0.2216,0.267,0.4911,0.3372,0.4918,0.7112,0.3215,1,0.4695,0.5106,0.2897,0.4445,0.4826,0.4111,0.5164,0.3973,0.4465,0.6388,0.4391,0.3526,0.4941,0.3987,0.5098,0.6117,0.2624,0.5334,0.2644,0.5014,0.4943,0.4191,0.3679,0.765,0.2373,0.6753,0.52,0.5159,0.6602,0.4427,0.5268,0.2681,0.5315,0.4639,0.3207,0.5345,0.4715
"Indiana",0.7951,0.6451,0.4771,0.3814,0.2668,0.2443,0.4825,0.3658,0.5481,0.506,0.5514,0.4695,1,0.4856,0.3522,0.6818,0.4745,0.4339,0.4403,0.3346,0.3158,0.3891,0.487,0.3606,0.2591,0.5057,0.4906,0.4776,0.3961,0.5636,0.3042,0.5738,0.3935,0.4946,0.7872,0.4495,0.2232,0.2421,0.6641,0.4189,0.5989,0.4557,0.5322,0.199,0.3267,0.3463,0.3328,0.4697,0.4398
"Iowa",0.5937,0.3861,0.3623,0.284,0.4116,0.2425,0.4086,0.2056,0.7236,0.6992,0.8528,0.5106,0.4856,1,0.4597,0.4487,0.2929,0.49,0.5754,0.2509,0.4598,0.4265,0.4308,0.4116,0.3061,0.7352,0.5552,0.6256,0.1184,0.2693,0.1738,0.7242,0.7992,0.7037,0.392,0.6278,0.2132,0.2185,0.6467,0.4146,0.5372,0.7425,0.5451,0.3518,0.209,0.3692,0.3662,0.7166,0.6718
"Kansas",0.488,0.2906,0.6455,0.3381,0.4884,0.4813,0.3309,0.434,0.2138,0.3759,0.522,0.2897,0.3522,0.4597,1,0.2794,0.6311,0.319,0.1847,0.4757,0.552,0.362,0.3221,0.9468,0.4742,0.3854,0.305,0.3783,0.4272,0.3183,0.4312,0.252,0.6088,0.4149,0.454,0.3497,0.5159,0.5109,0.2583,0.643,0.4831,0.4188,0.4971,0.6633,0.5601,0.34,0.5545,0.4394,0.7406
"Kentucky",0.6692,0.613,0.5813,0.4399,0.3304,0.5027,0.786,0.3218,0.6224,0.4741,0.5348,0.4445,0.6818,0.4487,0.2794,1,0.6289,0.4098,0.5829,0.3821,0.4934,0.3423,0.8182,0.2783,0.3974,0.3224,0.4833,0.3049,0.4997,0.6644,0.415,0.6545,0.2183,0.682,0.7079,0.3781,0.4248,0.2288,0.6972,0.2354,0.512,0.5922,0.2538,0.112,0.5009,0.4706,0.7146,0.3593,0.2204
"Louisiana",0.5131,0.4617,0.8254,0.4279,0.3496,0.4684,0.6908,0.3112,0.4958,0.4923,0.2442,0.4826,0.4745,0.2929,0.6311,0.6289,1,0.3218,0.4096,0.3941,0.5606,0.3068,0.66,0.6271,0.3797,0.1116,0.4131,0.299,0.4141,0.5621,0.3255,0.4552,0.1607,0.4905,0.4903,0.4176,0.4064,0.3934,0.4422,0.4423,0.7347,0.509,0.5503,0.1508,0.7402,0.4176,0.621,0.2497,0.4112
"Maine",0.3499,0.3358,0.5909,0.4077,0.4239,0.481,0.4344,0.4609,0.5742,0.3625,0.4717,0.4111,0.4339,0.49,0.319,0.4098,0.3218,1,0.4707,0.4915,0.3237,0.5452,0.4177,0.2799,0.3979,0.5145,0.4244,0.5872,0.5703,0.3436,0.6583,0.5344,0.3921,0.5203,0.3511,0.4355,0.4969,0.3818,0.4087,0.3574,0.4046,0.6671,0.3618,0.4516,0.339,0.4566,0.3999,0.5119,0.3223
"Maryland",0.3892,0.4991,0.4162,0.435,0.4844,0.3169,0.7011,0.2681,0.7974,0.66,0.4641,0.5164,0.4403,0.5754,0.1847,0.5829,0.4096,0.4707,1,0.3049,0.3463,0.5414,0.655,0.2469,0.3389,0.555,0.5867,0.5997,0.5092,0.389,0.3802,0.7167,0.4344,0.609,0.3242,0.4742,0.3101,0.2096,0.7455,0.397,0.6377,0.5379,0.5185,0.2175,0.3621,0.5184,0.4119,0.5304,0.4642
