"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Massachusetts",0.4489,0.2409,0.0234,0.5121,0.3723,0.7549,0.3923,0.0734,0.2649,0.1444,0.0816,0.5391,0.1921,0.2423,0.0867,0.0788,0.1678,0.7641,0.3755,1,0.5447,0.5334,0.0165,0.1448,0.5315,0.381,0.2031,0.784,0.8945,0.171,0.8417,0.8107,0.5259,0.5745,0.1243,0.3302,0.6218,0.8386,0.0763,0.7161,0.0705,0.2757,0.0983,0.792,0.2926,0.2754,0.163,0.3331,0.0555
"Michigan",0.7978,0.2849,0.0303,0.7308,0.5852,0.4264,0.5709,0.0888,0.2205,0.151,0.1256,0.7957,0.3554,0.4523,0.1307,0.124,0.1765,0.3824,0.5752,0.5447,1,0.7572,0.0464,0.1635,0.8288,0.6893,0.1901,0.4365,0.5852,0.199,0.4895,0.5494,0.7714,0.7757,0.1837,0.3119,0.7481,0.5402,0.0924,0.3995,0.1781,0.2769,0.1363,0.4054,0.3605,0.285,0.2654,0.3987,0.0822
"Minnesota",0.7158,0.3661,0.0438,0.64,0.5308,0.4028,0.563,0.1269,0.3189,0.1981,0.1788,0.7566,0.3851,0.4338,0.1828,0.1945,0.3248,0.3807,0.5551,0.5334,0.7572,1,0.0433,0.2343,0.7673,0.606,0.2679,0.4183,0.5957,0.3094,0.4521,0.5744,0.7082,0.8004,0.2701,0.4008,0.6913,0.5031,0.1441,0.3739,0.1488,0.3274,0.159,0.4071,0.3507,0.4005,0.3351,0.4755,0.1482
"Mississippi",0.0247,0.0779,0.8753,0.0337,0.0554,0.0098,0.0397,0.0483,0.1474,0.1761,0.1263,0.044,0.1017,0.0811,0.4725,0.1062,0.0495,0.0404,0.0474,0.0165,0.0464,0.0433,1,0.3493,0.0597,0.0316,0.0674,0.0176,0.0151,0.0458,0.0305,0.0179,0.0501,0.0214,0.08,0.0374,0.0323,0.0116,0.0992,0.2297,0.6567,0.082,0.641,0.0116,0.0792,0.0372,0.0689,0.0785,0.6618
"Missouri",0.1883,0.3447,0.4219,0.2098,0.2225,0.0909,0.2085,0.0734,0.3005,0.4302,0.1583,0.2119,0.3282,0.1822,0.6937,0.1561,0.2778,0.0701,0.2585,0.1448,0.1635,0.2343,0.3493,1,0.1544,0.1527,0.2295,0.0926,0.1318,0.2936,0.0998,0.1145,0.118,0.1595,0.217,0.3109,0.1141,0.0997,0.1209,0.2857,0.5013,0.3189,0.5249,0.1013,0.2151,0.3077,0.2944,0.3673,0.5661
"Montana",0.7545,0.2531,0.0324,0.5447,0.4202,0.4159,0.4695,0.0877,0.208,0.1411,0.1328,0.7322,0.3629,0.4227,0.1174,0.145,0.2026,0.3852,0.4177,0.5315,0.8288,0.7673,0.0597,0.1544,1,0.5118,0.1744,0.4352,0.5767,0.1837,0.4835,0.5818,0.8484,0.8227,0.1945,0.253,0.7695,0.5436,0.1228,0.4227,0.1643,0.2753,0.1053,0.4061,0.2824,0.2443,0.2355,0.3253,0.0709
"Nebraska",0.6609,0.2794,0.0352,0.6847,0.7863,0.2878,0.6957,0.0799,0.2563,0.1658,0.203,0.6956,0.3117,0.5554,0.1155,0.1264,0.174,0.2835,0.6504,0.381,0.6893,0.606,0.0316,0.1527,0.5118,1,0.2256,0.3292,0.4146,0.1783,0.3304,0.3818,0.5128,0.5472,0.1977,0.2675,0.4786,0.3566,0.1411,0.2635,0.186,0.2909,0.1919,0.2937,0.3962,0.2609,0.2735,0.403,0.1072
"Nevada",0.1919,0.5983,0.0642,0.3201,0.358,0.139,0.3614,0.1541,0.6089,0.3899,0.5322,0.2796,0.3021,0.2656,0.1799,0.2379,0.5363,0.1272,0.3645,0.2031,0.1901,0.2679,0.0674,0.2295,0.1744,0.2256,1,0.169,0.1867,0.3483,0.1518,0.1534,0.135,0.1774,0.3923,0.4479,0.1543,0.1348,0.5865,0.0484,0.1331,0.5624,0.2948,0.1021,0.3526,0.3643,0.2,0.4471,0.1264
"New Hampshire",0.3747,0.1586,0.0182,0.3561,0.3458,0.8378,0.3218,0.1792,0.2205,0.1399,0.1073,0.4226,0.1334,0.2079,0.0576,0.1891,0.0957,0.8645,0.2889,0.784,0.4365,0.4183,0.0176,0.0926,0.4352,0.3292,0.169,1,0.7634,0.0991,0.8384,0.731,0.467,0.4642,0.1056,0.2214,0.5485,0.742,0.1103,0.6942,0.1271,0.2839,0.0955,0.8602,0.1811,0.2,0.0929,0.2496,0.0521
"New Jersey",0.4866,0.2331,0.0251,0.5254,0.3894,0.7332,0.3988,0.0817,0.2304,0.1307,0.0946,0.5826,0.1965,0.2576,0.0989,0.1076,0.1607,0.7372,0.3937,0.8945,0.5852,0.5957,0.0151,0.1318,0.5767,0.4146,0.1867,0.7634,1,0.1828,0.8047,0.8483,0.5605,0.636,0.1324,0.3274,0.6822,0.8436,0.0694,0.7173,0.0863,0.2647,0.1157,0.7436,0.2595,0.3047,0.1924,0.3191,0.048
