"arm","state","budget","f_min","n_rules_core","n_rules_total","used_completion","window_redone","baseline_redone","walk_depth","base_precision","rewalk_precision","precision_diff","base_errors","rewalk_errors","base_dollar_recall_unw","rewalk_dollar_recall_unw","dollar_recall_unw_diff","base_dollar_recall_wtd","rewalk_dollar_recall_wtd","dollar_recall_wtd_diff","base_flagged_share","rewalk_flagged_share","fill_rate"
"bridge","Alabama",5,0.25,54,132,FALSE,FALSE,FALSE,2374,0.4,0.452380952380952,0.0523809523809524,20,19,0.130196892847158,0.12468549063461,-0.00551140221254842,0.128411220363787,0.122636942485284,-0.00577427787850346,0.0481231953801732,0.0404234841193455,0.80846968238691
"bridge","Alabama",5,0.4,49,123,FALSE,FALSE,FALSE,2970,0.4,0.434782608695652,0.0347826086956521,20,20,0.130196892847158,0.134390351052358,0.0041934582051999,0.128411220363787,0.129639213471604,0.00122799310781666,0.0481231953801732,0.0442733397497594,0.885466794995188
"bridge","Alabama",5,0.5,48,110,FALSE,FALSE,FALSE,2658,0.4,0.447368421052632,0.0473684210526316,20,17,0.130196892847158,0.110028355765007,-0.0201685370821518,0.128411220363787,0.107609029630047,-0.0208021907337405,0.0481231953801732,0.0365736284889317,0.731472569778633
"bridge","Alabama",5,0.55,47,99,FALSE,FALSE,FALSE,3136,0.4,0.434782608695652,0.0347826086956521,20,20,0.130196892847158,0.125883621550381,-0.00431327129677703,0.128411220363787,0.124670904124281,-0.0037403162395063,0.0481231953801732,0.0442733397497594,0.885466794995188
"bridge","Alabama",5,0.6,47,114,FALSE,FALSE,FALSE,4197,0.4,0.434782608695652,0.0347826086956521,20,20,0.130196892847158,0.125883621550381,-0.00431327129677703,0.128411220363787,0.124670904124281,-0.0037403162395063,0.0481231953801732,0.0442733397497594,0.885466794995188
"bridge","Alabama",5,0.65,44,109,FALSE,FALSE,FALSE,4197,0.4,0.411764705882353,0.0117647058823529,20,21,0.130196892847158,0.135069291904629,0.00487239905747033,0.128411220363787,0.136692748599132,0.0082815282353452,0.0481231953801732,0.0490856592877767,0.981713185755534
"bridge","Alabama",5,0.7,45,107,FALSE,FALSE,FALSE,4432,0.4,0.39622641509434,-0.00377358490566038,20,21,0.130196892847158,0.136107672031631,0.00591077918447222,0.128411220363787,0.135965750526684,0.00755453016289676,0.0481231953801732,0.0510105871029836,1.02021174205967
"bridge","Alabama",5,0.75,47,119,FALSE,FALSE,FALSE,6800,0.4,0.4,0,20,22,0.130196892847158,0.144254962258876,0.0140580694117177,0.128411220363787,0.138718335046036,0.0103071146822483,0.0481231953801732,0.0529355149181906,1.05871029836381
"bridge","Alabama",10,0.25,93,239,FALSE,FALSE,FALSE,8808,0.327102803738318,0.32258064516129,-0.00452215857702742,35,30,0.253244937896881,0.202603937856943,-0.0506410000399377,0.247385566524338,0.206001245558661,-0.0413843209656769,0.102983638113571,0.0895091434071222,0.895091434071222
"bridge","Alabama",10,0.4,84,218,FALSE,FALSE,FALSE,11774,0.327102803738318,0.301470588235294,-0.0256322155030236,35,41,0.253244937896881,0.329845441111865,0.0766005032149846,0.247385566524338,0.314702519220397,0.0673169526960594,0.102983638113571,0.130895091434071,1.30895091434071
"bridge","Alabama",10,0.5,83,231,FALSE,TRUE,FALSE,13525,0.327102803738318,0.32258064516129,-0.00452215857702742,35,40,0.253244937896881,0.324174288110548,0.0709293502136667,0.247385566524338,0.308531200358027,0.0611456338336893,0.102983638113571,0.11934552454283,1.1934552454283
"bridge","Alabama",10,0.55,82,204,FALSE,TRUE,FALSE,19674,0.327102803738318,0.31404958677686,-0.0130532169614582,35,38,0.253244937896881,0.310475657973561,0.0572307200766804,0.247385566524338,0.292482478066507,0.045096911542169,0.102983638113571,0.116458132820019,1.16458132820019
"bridge","Alabama",10,0.6,82,208,FALSE,TRUE,FALSE,19562,0.327102803738318,0.31404958677686,-0.0130532169614582,35,38,0.253244937896881,0.310475657973561,0.0572307200766804,0.247385566524338,0.292482478066507,0.045096911542169,0.102983638113571,0.116458132820019,1.16458132820019
"bridge","Alabama",10,0.65,79,235,FALSE,TRUE,FALSE,25007,0.327102803738318,0.370786516853933,0.0436837131156149,35,33,0.253244937896881,0.241583130316706,-0.0116618075801749,0.247385566524338,0.241235019312544,-0.00615054721179356,0.102983638113571,0.0856592877767084,0.856592877767084
"bridge","Alabama",10,0.7,80,233,FALSE,TRUE,FALSE,25847,0.327102803738318,0.323308270676692,-0.00379453306162603,35,43,0.253244937896881,0.336554974240185,0.0833100363433045,0.247385566524338,0.322005850612204,0.074620284087866,0.102983638113571,0.128007699711261,1.28007699711261
"bridge","Alabama",10,0.75,91,240,FALSE,TRUE,FALSE,27378,0.327102803738318,0.333333333333333,0.00623052959501558,35,41,0.253244937896881,0.326211110667359,0.0729661727704781,0.247385566524338,0.307961890836425,0.0605763243120868,0.102983638113571,0.118383060635226,1.18383060635226
"bridge","Arizona",5,0.25,34,92,FALSE,FALSE,FALSE,1361,0.259259259259259,0.259259259259259,0,14,14,0.189245946473921,0.189245946473921,0,0.214724869231206,0.214724869231206,0,0.0623556581986143,0.0623556581986143,1.24711316397229
"bridge","Arizona",5,0.4,32,84,FALSE,FALSE,FALSE,1667,0.259259259259259,0.270833333333333,0.0115740740740741,14,13,0.189245946473921,0.16424106270756,-0.0250048837663606,0.214724869231206,0.193531622389521,-0.0211932468416848,0.0623556581986143,0.0554272517321016,1.10854503464203
"bridge","Arizona",5,0.5,32,86,FALSE,FALSE,FALSE,1883,0.259259259259259,0.26530612244898,0.00604686318972036,14,13,0.189245946473921,0.16424106270756,-0.0250048837663606,0.214724869231206,0.193531622389521,-0.0211932468416848,0.0623556581986143,0.0565819861431871,1.13163972286374
"bridge","Arizona",5,0.55,28,75,FALSE,FALSE,FALSE,1883,0.259259259259259,0.272727272727273,0.0134680134680135,14,12,0.189245946473921,0.159454971674155,-0.0297909747997656,0.214724869231206,0.187975485587278,-0.0267493836439278,0.0623556581986143,0.0508083140877598,1.0161662817552
"bridge","Arizona",5,0.6,29,70,FALSE,FALSE,FALSE,1827,0.259259259259259,0.305555555555556,0.0462962962962963,14,11,0.189245946473921,0.155987497558117,-0.0332584489158038,0.214724869231206,0.185175701681953,-0.0295491675492525,0.0623556581986143,0.0415704387990762,0.831408775981524
"bridge","Arizona",5,0.65,30,72,FALSE,FALSE,FALSE,2142,0.259259259259259,0.324324324324324,0.0650650650650651,14,12,0.189245946473921,0.15925962101973,-0.0299863254541902,0.214724869231206,0.18814036814282,-0.0265845010883857,0.0623556581986143,0.0427251732101617,0.854503464203233
"bridge","Arizona",5,0.7,29,85,FALSE,FALSE,FALSE,2980,0.259259259259259,0.333333333333333,0.0740740740740741,14,12,0.189245946473921,0.15925962101973,-0.0299863254541902,0.214724869231206,0.18814036814282,-0.0265845010883857,0.0623556581986143,0.0415704387990762,0.831408775981524
"bridge","Arizona",5,0.75,29,89,FALSE,FALSE,FALSE,3419,0.259259259259259,0.333333333333333,0.0740740740740741,14,12,0.189245946473921,0.15925962101973,-0.0299863254541902,0.214724869231206,0.18814036814282,-0.0265845010883857,0.0623556581986143,0.0415704387990762,0.831408775981524
"bridge","Arizona",10,0.25,64,171,FALSE,FALSE,FALSE,3924,0.247191011235955,0.24390243902439,-0.00328857221156481,22,20,0.279449111154522,0.231344012502442,-0.0481050986520805,0.299101755791283,0.251734636472043,-0.0473671193192397,0.102771362586605,0.0946882217090069,0.946882217090069
