year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2026,298,546,785,994,1183,1421,1571,1789,2007,2225,2443,2661,2879,3097,3315,3533,3751,3969,4187,4405
2025,292,536,768,975,1158,1390,1536,1756,1976,2196,2416,2636,2856,3076,3296,3516,3736,3956,4176,4396
2024,291,535,766,973,1155,1386,1532,1751,1970,2189,2408,2627,2846,3065,3284,3503,3722,3941,4160,4379
2023,281,516,740,939,1116,1339,1480,1691,1902,2113,2324,2535,2746,2957,3168,3379,3590,3801,4012,4223
2022,250,459,658,835,992,1190,1316,1504,1692,1880,2068,2256,2444,2632,2820,3008,3196,3384,3572,3760
2021,204,374,535,680,807,969,1071,1224,1377,1530,1683,1836,1989,2142,2295,2448,2601,2754,2907,3060
2020,194,355,509,646,768,921,1018,1164,1310,1456,1602,1748,1894,2040,2186,2332,2478,2624,2770,2916
2019,192,353,505,642,762,914,1011,1155,1299,1443,1587,1731,1875,2019,2163,2307,2451,2595,2739,2883
2018,192,352,504,640,760,913,1009,1153,1297,1441,1585,1729,1873,2017,2161,2305,2449,2593,2737,2881
2017,194,357,511,649,771,925,1022,1169,1315,1461,1607,1753,1899,2045,2191,2337,2483,2629,2775,2921
