"state","year","category","status"
"Arkansas",2017,"Child Support Related Disqualification","None"
"Arkansas",2017,"Comparable Disqualifications","No"
"Arkansas",2017,"Drug Felony Disqualifications","No ban"
"Arkansas",2017,"Work Requirements and Disqualification Policy","Extended DQ only"
"Arkansas",2017,"Broad Based Categorical Eligibility (BBCE)","No"
"Arkansas",2017,"Transitional Benefits Alternative (TBA)","No"
"Arkansas",2017,"Demonstrations for the Elderly and Disabled","SMD"
"Arkansas",2017,"Combined Application Projects (CAPs)","No"
"Arkansas",2017,"Electronic Case Files","Completely electronic files statewide"
"Arkansas",2017,"Online Application","Apply only"
"Arkansas",2017,"Online Case Management",""
"Arkansas",2017,"Call Centers","No plication or case-specific inquiries"
"Arkansas",2017,"Mobile Technology","No"
"California",2017,"Program Administration","County-administered"
"California",2017,"SNAP Certification Workflow and Case Management","Varies by project area"
"California",2017,"Joint Processing—Medicaid","Joint application & processing in some cases"
"California",2017,"Joint Processing—TANF","Joint application & processing in some cases"
"California",2017,"Reporting Requirements","Simplified reporting only"
"California",2017,"Simplified Reporting—Certification Length","12 & 24 months"
"California",2017,"Income and Resource Alignment with Medicaid and TANF","Income & resources"
"California",2017,"Treatment of Self-Employment Income","Another method"
"California",2017,"Simplified Homeless Housing Cost","Yes"
"California",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"California",2017,"Treatment of Child Support Payments","Child support income expense exclusion"
"California",2017,"Child Support Related Disqualification","None"
"California",2017,"Comparable Disqualifications","No"
"California",2017,"Drug Felony Disqualifications","No ban"
"California",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"California",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"California",2017,"Transitional Benefits Alternative (TBA)","Yes"
"California",2017,"Demonstrations for the Elderly and Disabled","SMD & ESAP"
"California",2017,"Combined Application Projects (CAPs)","No"
"California",2017,"Electronic Case Files","Completely electronic files statewide"
"California",2017,"Online Application","Apply & recertify"
"California",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
"California",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client reported case changes, process case changes, initial applications intake, recertification application intake, & conduct interviews"
"California",2017,"Mobile Technology","SMS messaging and mobile app (varies by county) SNAP State Options Report • 39"
"Colorado",2017,"Program Administration","County-administered"
"Colorado",2017,"SNAP Certification Workflow and Case Management","Varies by project area"
"Colorado",2017,"Joint Processing—Medicaid","Joint application & processing in some cases"
"Colorado",2017,"Joint Processing—TANF","Joint application & processing in some cases"
"Colorado",2017,"Reporting Requirements","Simplified reporting only"
"Colorado",2017,"Simplified Reporting—Certification Length","6 & 24 months"
"Colorado",2017,"Income and Resource Alignment with Medicaid and TANF","Income & resources"
"Colorado",2017,"Treatment of Self-Employment Income","Actual costs only"
"Colorado",2017,"Simplified Homeless Housing Cost","Yes"
"Colorado",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Colorado",2017,"Treatment of Child Support Payments","Child support income expense exclusion"
"Colorado",2017,"Child Support Related Disqualification","None"
"Colorado",2017,"Comparable Disqualifications","No"
"Colorado",2017,"Drug Felony Disqualifications","Modified ban: limiting the circumstances in which the permanent DQ applies"
"Colorado",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Colorado",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Colorado",2017,"Transitional Benefits Alternative (TBA)","Yes"
"Colorado",2017,"Demonstrations for the Elderly and Disabled","SMD"
"Colorado",2017,"Combined Application Projects (CAPs)","No"
"Colorado",2017,"Electronic Case Files","Partially electronic files in specific project areas"
"Colorado",2017,"Online Application","Apply & recertify"
"Colorado",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
