"state","year","category","status"
"Alabama",2016,"Program Administration","State-administered"
"Alabama",2016,"SNAP Certification Workflow and Case Management","Varies by project area"
"Alabama",2016,"Joint Processing—Medicaid","Neither joint application or processing"
"Alabama",2016,"Joint Processing—TANF","Neither joint application or processing"
"Alabama",2016,"Reporting Requirements","Simplified reporting only"
"Alabama",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Alabama",2016,"Simplified Reporting—Certification Length","4 & 12 months"
"Alabama",2016,"Simplified Income and Resources","Income only"
"Alabama",2016,"Simplified Self-Employment Determination","Flat percentage: 40%"
"Alabama",2016,"Simplified Homeless Housing Cost","No"
"Alabama",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Alabama",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Alabama",2016,"Child Support Related Disqualification","None"
"Alabama",2016,"Comparable Disqualifications","No"
"Alabama",2016,"Drug Felony Disqualifications","Modified ban: requiring participation in a drug treatment program; completing sentence or probation satisfactorily"
"Alabama",2016,"Work Requirements and Disqualification Policy","Extended DQ only"
"Alabama",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Alabama",2016,"Transitional Benefits Alternative (TBA)","No"
"Alabama",2016,"Demonstrations for the Elderly and Disabled","ESAP & SMD"
"Alabama",2016,"Combined Application Project (CAP)","No"
"Alabama",2016,"Online Application","Apply & recertify"
"Alabama",2016,"Online Case Management","View case information, report changes, & upload documents for verification"
"Alabama",2016,"Electronic Case Files","Completely electronic files statewide"
"Alabama",2016,"Call Centers","No call center"
"Alabama",2016,"Mobile Technology","No"
"Alaska",2016,"Program Administration","State-administered"
"Alaska",2016,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Alaska",2016,"Joint Processing—Medicaid","Joint application & processing"
"Alaska",2016,"Joint Processing—TANF","Joint application & processing in some cases"
"Alaska",2016,"Reporting Requirements","Simplified & change reporting"
"Alaska",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Alaska",2016,"Simplified Reporting—Certification Length","6 months only"
"Alaska",2016,"Simplified Income and Resources","Neither"
"Alaska",2016,"Simplified Self-Employment Determination","Flat percentage: 50%"
"Alaska",2016,"Simplified Homeless Housing Cost","Yes"
"Alaska",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Alaska",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Alaska",2016,"Child Support Related Disqualification","None"
"Alaska",2016,"Comparable Disqualifications","Yes"
"Alaska",2016,"Drug Felony Disqualifications","Modified ban: completing sentence or probation satisfactorily; requiring participation in a drug or alcohol treatment program; taking action toward rehabilitation, including participation in a drug or alcohol treatment program; or, successfully com‐ plying with the requirements of the person's reentry plan."
"Alaska",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Alaska",2016,"Broad Based Categorical Eligibility (BBCE)","No"
"Alaska",2016,"Transitional Benefits Alternative (TBA)","No"
"Alaska",2016,"Demonstrations for the Elderly and Disabled","None"
"Alaska",2016,"Combined Application Project (CAP)","No"
"Alaska",2016,"Online Application","No"
"Alaska",2016,"Online Case Management","No"
"Alaska",2016,"Electronic Case Files","No electronic files"
"Alaska",2016,"Call Centers","Respond to general inquiries"
"Alaska",2016,"Mobile Technology","No"
"Arizona",2016,"Program Administration","State-administered"
"Arizona",2016,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Arizona",2016,"Joint Processing—Medicaid","Joint application & processing in some cases"
"Arizona",2016,"Joint Processing—TANF","Joint application & processing in some cases"
"Arizona",2016,"Reporting Requirements","Simplified & change reporting"
"Arizona",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Arizona",2016,"Simplified Reporting—Certification Length","6 months only"
"Arizona",2016,"Simplified Income and Resources","Income only"
"Arizona",2016,"Simplified Self-Employment Determination","Flat percentage: 40%"
"Arizona",2016,"Simplified Homeless Housing Cost","Yes"
"Arizona",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Arizona",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all Deductions of Ineligible Non-Citizens—Pre PRWORA Count all for gross income test Treatment of Income and then count all but a prorated share for net Deductions of Ineligible Non-Citizens—Post PRWORA income test"
"Arizona",2016,"Child Support Related Disqualification","None"
"Arizona",2016,"Comparable Disqualifications","No"
"Arizona",2016,"Drug Felony Disqualifications","Lifetime ban"
"Arizona",2016,"Work Requirements and Disqualification Policy","Entire household DQ"
"Arizona",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Arizona",2016,"Transitional Benefits Alternative (TBA)","Yes"
"Arizona",2016,"Demonstrations for the Elderly and Disabled","None"
"Arizona",2016,"Combined Application Project (CAP)","Modified CAP"
"Arizona",2016,"Online Application","Apply & recertify"
"Arizona",2016,"Online Case Management","View case information, report changes, & upload documents for verification"
"Arizona",2016,"Electronic Case Files","Completely electronic files statewide"
"Arizona",2016,"Call Centers","Respond to general inquiries, respond to appli‐ cation or case-specific inquiries, accept clientreported case changes, & online chat"
"Arizona",2016,"Mobile Technology","SMS messaging SNAP State Options Report • 31"
"Arkansas",2016,"Program Administration","State-administered"
"Arkansas",2016,"SNAP Certification Workflow and Case Management","Traditional case management"
"Arkansas",2016,"Joint Processing—Medicaid","Joint processing only"
"Arkansas",2016,"Joint Processing—TANF","Joint application & processing"
"Arkansas",2016,"Reporting Requirements","Simplified & change reporting"
"Arkansas",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Arkansas",2016,"Simplified Reporting—Certification Length","12 months only"
"Arkansas",2016,"Simplified Income and Resources","Neither"
"Arkansas",2016,"Simplified Self-Employment Determination","No"
"Arkansas",2016,"Simplified Homeless Housing Cost","No"
"Arkansas",2016,"Standard Utility Allowances (SUAs)","SUAs that are not mandatory"
"Arkansas",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Arkansas",2016,"Child Support Related Disqualification","None"
"Arkansas",2016,"Comparable Disqualifications","No"
"Arkansas",2016,"Drug Felony Disqualifications","Modified ban: limiting the circumstances in which the permanent disqualification applies"
"Arkansas",2016,"Work Requirements and Disqualification Policy","Extended DQ"
"Arkansas",2016,"Broad Based Categorical Eligibility (BBCE)","No"
"Arkansas",2016,"Transitional Benefits Alternative (TBA)","No"
"Arkansas",2016,"Demonstrations for the Elderly and Disabled","SMD"
"Arkansas",2016,"Combined Application Project (CAP)","No"
"Arkansas",2016,"Online Application","Apply & recertify"
"Arkansas",2016,"Online Case Management","No"
"Arkansas",2016,"Electronic Case Files","Completely electronic files statewide"
"Arkansas",2016,"Call Centers","Respond to general inquiries, respond to appli‐ cation or case-specific inquiries, accept clientreported case changes"
"Arkansas",2016,"Mobile Technology","No"
"California",2016,"Program Administration","County-administered"
"California",2016,"SNAP Certification Workflow and Case Management","Varies by project area"
"California",2016,"Joint Processing—Medicaid","Joint application & processing in some cases"
"California",2016,"Joint Processing—TANF","Joint application & processing in some cases"
"California",2016,"Reporting Requirements","Simplified reporting only"
"California",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"California",2016,"Simplified Reporting—Certification Length","12 & 24 months"
"California",2016,"Simplified Income and Resources","Income & resources"
"California",2016,"Simplified Self-Employment Determination","Flat percentage: 40%"
"California",2016,"Simplified Homeless Housing Cost","Yes"
"California",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"California",2016,"Treatment of Child Support Payments","Child support expense income exclusion Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but a prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"California",2016,"Child Support Related Disqualification","None"
"California",2016,"Comparable Disqualifications","Yes"
"California",2016,"Drug Felony Disqualifications","No ban"
"California",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"California",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"California",2016,"Transitional Benefits Alternative (TBA)","Yes"
"California",2016,"Demonstrations for the Elderly and Disabled","None"
"California",2016,"Combined Application Project (CAP)","No"
"California",2016,"Online Application","Apply & recertify"
"California",2016,"Online Case Management","View case information, report changes, & upload documents for verification"
"California",2016,"Electronic Case Files","Completely electronic files statewide"
"California",2016,"Call Centers","Respond to general inquiries, respond to appli‐ cation or case-specific inquiries, accept client reported case changes, process case changes, initial applications intake, recertification appli‐ cation intake, & conduct interviews"
