report_year,source,jurisdiction,page,variable,label_raw,label_norm,value_raw
2016,12-State_Options_Oct1_2015.pdf,Arkansas,33,,Mobile Technology,mobile technology,No mobile technology
2016,12-State_Options_Oct1_2015.pdf,California,34,,SNAP Name,snap name,CalFresh
2016,12-State_Options_Oct1_2015.pdf,California,34,program_admin,Program Administration,program administration,County-administered
2016,12-State_Options_Oct1_2015.pdf,California,34,reporting,Reporting Requirements,reporting requirements,Simplified & change reporting
2016,12-State_Options_Oct1_2015.pdf,California,34,,Simplified Reporting - Action on Changes,simplified reporting action on changes,Act on all changes
2016,12-State_Options_Oct1_2015.pdf,California,34,cert_periods,Simplified Reporting - Certification Length,simplified reporting certification length,12 & 24 months only
2016,12-State_Options_Oct1_2015.pdf,California,34,,Simplified Income and Resources,simplified income and resources,Income & Resources
2016,12-State_Options_Oct1_2015.pdf,California,34,self_employment,Simplified Self-Employment Determination,simplified self employment determination,No
2016,12-State_Options_Oct1_2015.pdf,California,34,,Simplified Homeless Housing Cost,simplified homeless housing cost,No
2016,12-State_Options_Oct1_2015.pdf,California,34,suas,Standard Utility Allowances (SUAs),standard utility allowances suas,Mandatory SUAs
2016,12-State_Options_Oct1_2015.pdf,California,34,,Treatment of Vehicles,treatment of vehicles,All vehicles excluded
2016,12-State_Options_Oct1_2015.pdf,California,34,,Treatment of Income and Deductions of Ineligible Non-Citizens,treatment of income and deductions of ineligible non citizens,Prorate for category 1 & None for category 2
2016,12-State_Options_Oct1_2015.pdf,California,34,child_support,Child Support Expense Exclusion,child support expense exclusion,Yes
2016,12-State_Options_Oct1_2015.pdf,California,34,child_support_disq,Child Support Related Disqualification,child support related disqualification,None
2016,12-State_Options_Oct1_2015.pdf,California,34,comparable_disq,Comparable Disqualifications,comparable disqualifications,Yes
2016,12-State_Options_Oct1_2015.pdf,California,34,drug_felony,Drug Felony Disqualifications,drug felony disqualifications,No ban
2016,12-State_Options_Oct1_2015.pdf,California,34,work_requirements,Work Requirements and Disqualification Policy,work requirements and disqualification policy,Extended DQ
2016,12-State_Options_Oct1_2015.pdf,California,34,bbce,Broad Based Categorical Eligibility (BBCE),broad based categorical eligibility bbce,Yes
2016,12-State_Options_Oct1_2015.pdf,California,34,tba,Transitional Benefits Alternative (TBA),transitional benefits alternative tba,Yes
2016,12-State_Options_Oct1_2015.pdf,California,34,,Document Imaging,document imaging,Completely electronic files statewide
2016,12-State_Options_Oct1_2015.pdf,California,34,demonstrations,Demonstrations for the Elderly and Disabled,demonstrations for the elderly and disabled,None
2016,12-State_Options_Oct1_2015.pdf,California,34,cap,Combined Application Project (CAP),combined application project cap,No
2016,12-State_Options_Oct1_2015.pdf,California,34,,Online Application,online application,Apply & recertify
2016,12-State_Options_Oct1_2015.pdf,California,34,,Online Case Management Call Centers,online case management call centers,"View case information, report changes, & upload documents for verification Respond to general inquiries, respond to application or case-specific inquiries, accept case changes, accept initial applications, & accept recertifications"
2016,12-State_Options_Oct1_2015.pdf,California,34,,Mobile Technology,mobile technology,SMS messaging and mobile app
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,SNAP Name,snap name,Food Assistance Program
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,program_admin,Program Administration,program administration,County-administered
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,reporting,Reporting Requirements,reporting requirements,Simplified & change reporting
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Simplified Reporting - Action on Changes,simplified reporting action on changes,Act only on changes that result in an increase in household benefits
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,cert_periods,Simplified Reporting - Certification Length,simplified reporting certification length,6 & 24 months only
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Simplified Income and Resources,simplified income and resources,Neither
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,self_employment,Simplified Self-Employment Determination,simplified self employment determination,No
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Simplified Homeless Housing Cost,simplified homeless housing cost,Yes
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,suas,Standard Utility Allowances (SUAs),standard utility allowances suas,Mandatory SUAs
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Treatment of Vehicles,treatment of vehicles,All vehicles excluded
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Treatment of Income and Deductions of Ineligible Non-Citizens,treatment of income and deductions of ineligible non citizens,Prorate for both categories
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,child_support,Child Support Expense Exclusion,child support expense exclusion,Yes
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,child_support_disq,Child Support Related Disqualification,child support related disqualification,None
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,comparable_disq,Comparable Disqualifications,comparable disqualifications,No
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,drug_felony,Drug Felony Disqualifications,drug felony disqualifications,Modifications include: Limiting the circumstances in which the permanent DQ applies
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,work_requirements,Work Requirements and Disqualification Policy,work requirements and disqualification policy,Regulatory minimum
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,bbce,Broad Based Categorical Eligibility (BBCE),broad based categorical eligibility bbce,Yes
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,tba,Transitional Benefits Alternative (TBA),transitional benefits alternative tba,No
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Document Imaging,document imaging,Partially electronic files in specific project areas
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,demonstrations,Demonstrations for the Elderly and Disabled,demonstrations for the elderly and disabled,None
