Year,State,ProgramAdministration,ReportingRequirements,CertificationPeriods,SelfEmploymentIncome,SUAs,IneligibleNoncitizensPrePRWORA,IneligibleNoncitizensPostPRWORA,ChildSupportPayments,ChildSupportDisqualifications,ComparableDisqualification,DrugFelonyDisqualifications,WorkRequirements,SNAPETPrograms,ABAWDTimeLimitWaiver,ABAWDDiscretionaryExemptions,BBCE,TBA,DemonstrationsElderlyDisability,CAP
2025,District of Columbia,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,ESAP only,No CAP
2025,Florida,State-administered,Simplified reporting only,"4 months, 6 months, 12 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for custodial parent,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Mandatory only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,ESAP only,Standard CAP
2025,Georgia,State-administered,Simplified reporting only,"4 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,Comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD and ESAP,No CAP
2025,Guam,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,Comparable disqualifications,Modified disqualification,Extended disqualification periods and permanent disqualification after third instance of noncompliance,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2025,Hawaii,State-administered,Simplified and change reporting,"6 months, 12 months",,SUAs not mandatory,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2025,Idaho,State-administered,Simplified reporting only,"6 months, 24 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for custodial parent,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary and mandatory,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD only,No CAP
2025,Illinois,State-administered,Simplified and change reporting,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,SMD and ESAP,No CAP
2025,Indiana,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,ESAP only,No CAP
2025,Iowa,State-administered,Simplified reporting only,"4 months, 6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD only,No CAP
2025,Kansas,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for custodial parent,Comparable disqualifications,Modified disqualification,Extended disqualification periods,Mandatory only,No ABAWD time limit waiver,No use of discretionary exemptions,No BBCE,No TBA,SMD only,No CAP
2025,Kentucky,State-administered,Simplified reporting only,"4 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for noncustodial parent and arrearage on support payments,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Modified CAP
2025,Louisiana,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Modified CAP
2025,Maine,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Excluded from income,None,Comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2025,Maryland,State-administered,Simplified reporting only,"4 months, 6 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,ESAP only,Modified CAP
2025,Massachusetts,State-administered,Simplified and change reporting,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,Comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD and ESAP,Standard CAP
2025,Michigan,State-administered,Simplified and change reporting,"1-3 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD only,Modified CAP
2025,Minnesota,"Region, district, or county administered","Simplified, change, and monthly reporting","12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2025,Mississippi,State-administered,Change reporting only,"4 months, 6 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for custodial and noncustodial parent and arrearage on support payments,Comparable disqualifications,No disqualification,Extended disqualification periods and permanent disqualification after third instance of noncompliance,Voluntary and mandatory,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,ESAP only,Standard CAP
2025,Missouri,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,No use of discretionary exemptions,No BBCE,No TBA,SMD only,No CAP
2025,Montana,State-administered,Simplified and change reporting,"6 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2025,Nebraska,State-administered,Simplified reporting only,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for custodial and noncustodial parent,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2025,Nevada,State-administered,Simplified and change reporting,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2025,New Hampshire,State-administered,Simplified and change reporting,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,SMD only,No CAP
2025,New Jersey,"Region, district, or county administered",Simplified and change reporting,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,Modified CAP
2025,New Mexico,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,ESAP only,No CAP
2025,New York,"Region, district, or county administered",Simplified and change reporting,"6 months, 12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary and mandatory,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,ESAP only,Standard CAP
2025,North Carolina,"Region, district, or county administered",Simplified reporting only,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,Modified CAP
2025,North Dakota,"Region, district, or county administered",Simplified reporting only,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD only,No CAP
2025,Ohio,"Region, district, or county administered",Simplified reporting only,"4 months, 6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,Comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,ESAP only,No CAP
2025,Oklahoma,State-administered,Simplified and change reporting,"4 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2025,Oregon,State-administered,Simplified and change reporting,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD only,No CAP
2025,Pennsylvania,State-administered,Simplified and change reporting,"4 months, 6 months, 12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification Note: State law allows for modified or no disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,ESAP only,Standard CAP
2025,Rhode Island,State-administered,Simplified and change reporting,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,No CAP
2025,South Carolina,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Lifetime disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Standard CAP
2025,South Dakota,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Excluded from income,Failure to cooperate: disqualification for custodial parent,Comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary and mandatory,Partial ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,SMD only,Modified CAP
2025,Tennessee,State-administered,Simplified and change reporting,"4 months, 6 months, 12 months",,SUAs not mandatory,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,TBA,No SMD or ESAP,No CAP
2025,Texas,State-administered,Simplified and change reporting,"4 months, 6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary and mandatory,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Modified CAP
2025,Utah,State-administered,Simplified reporting only,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Mandatory only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,No SMD or ESAP,No CAP
2025,Vermont,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,No CAP
2025,Virgin Islands,State-administered,Simplified reporting only,"6 months, 12 months, 24 months",,SUAs not mandatory,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2025,Virginia,"Region, district, or county administered",Simplified and change reporting,"4 months, 6 months, 12 months, 24 months",,SUAs not mandatory,,,Excluded from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD and ESAP,Modified CAP
2025,Washington,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,ESAP only,Standard CAP
2025,West Virginia,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2025,Wisconsin,"Region, district, or county administered",Simplified reporting only,"6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2025,Wyoming,State-administered,Simplified reporting only,"4 months, 6 months, 12 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,SMD only,No CAP
