Year,State,ProgramAdministration,ReportingRequirements,CertificationPeriods,SelfEmploymentIncome,SUAs,IneligibleNoncitizensPrePRWORA,IneligibleNoncitizensPostPRWORA,ChildSupportPayments,ChildSupportDisqualifications,ComparableDisqualification,DrugFelonyDisqualifications,WorkRequirements,SNAPETPrograms,ABAWDTimeLimitWaiver,ABAWDDiscretionaryExemptions,BBCE,TBA,DemonstrationsElderlyDisability,CAP
2024,Guam,State administered,Simplified reporting only,"12 months, 24 months",Actual costs,SUAs not mandatory,Count all,Count all but a prorated share,Child support income expense deduction,None,Comparable disqualifications,Modified disqualification,Extended disqualification periods and permanent disqualification after third instance of noncompliance,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2024,Hawaii,State administered,Simplified and change reporting,"6 months, 12 months",Actual costs,SUAs not mandatory,"Count all for gross income test, then count all but a prorated share for net income test",Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2024,Idaho,State administered,Simplified reporting only,"6 months, 24 months",Another method,Mandatory SUAs,Count all,Count all but a prorated share,Child support income expense deduction,Failure to cooperate: disqualification for custodial parent,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary and mandatory,No ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD only,No CAP
2024,Illinois,State administered,Simplified and change reporting,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,SMD and ESAP,No CAP
2024,Indiana,State administered,Simplified reporting only,12 months,Another method,Mandatory SUAs,Count all,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2024,Iowa,State administered,Simplified reporting only,"4 months, 6 months, 12 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,SMD only,No CAP
2024,Kansas,State administered,Simplified reporting only,"12 months, 24 months",Another method,Mandatory SUAs,Count all,Count all but a prorated share,Child support income expense deduction,Failure to cooperate: disqualification for custodial parent,Comparable disqualifications,Modified disqualification,Extended disqualification periods,Mandatory only,No ABAWD time limit waiver,No use of discretionary exemptions,No BBCE,No TBA,SMD only,No CAP
2024,Kentucky,State administered,Simplified reporting only,"4 months, 12 months, 24 months",Actual costs,Mandatory SUAs,"Count all for gross income test, then count all but a prorated share for net income test",Count all but a prorated share,Child support income expense deduction,Failure to cooperate: disqualification for noncustodial parent and arrearage on support payments,Comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Modified CAP
2024,Louisiana,State administered,Simplified reporting only,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,Modified CAP
2024,Maine,State administered,Simplified reporting only,"6 months, 12 months",Actual costs,Mandatory SUAs,Count all,Count all but a prorated share,Child support income expense exclusion,None,Comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
